# P=100,vT,P=200,vT,P=300,vT,P=400,vT,P=500,vT,P=600,vT,P=700,vT,P=800,vT,P=900,vT,P=1000,vT,P=1100,vT,P=1200,vT,P=1300,vT,P=1400,vT,P=1500,vT,P=1600,vT,P=1700,vT,P=1800,vT,P=1900,vT,
2.000000000000000096e-04,2.371638020090177934e-01,2.000000000000000096e-04,2.932082890766973260e-01,2.000000000000000096e-04,3.248257136807138346e-01,2.000000000000000096e-04,3.459720653351849307e-01,2.000000000000000096e-04,3.613413354206113648e-01,2.000000000000000096e-04,3.730837373629623532e-01,2.000000000000000096e-04,3.823590830413883812e-01,2.000000000000000096e-04,3.898612553990101204e-01,2.000000000000000096e-04,3.960365346803050857e-01,2.000000000000000096e-04,4.011877308664757447e-01,2.000000000000000096e-04,4.055289984758157495e-01,2.000000000000000096e-04,4.092168652910455617e-01,2.000000000000000096e-04,4.123688786087790215e-01,2.000000000000000096e-04,4.150752968592487102e-01,2.000000000000000096e-04,4.174067714048891320e-01,2.000000000000000096e-04,4.194195278043328923e-01,2.000000000000000096e-04,4.211589244345530503e-01,2.000000000000000096e-04,4.226619930000279357e-01,2.000000000000000096e-04,4.239593267792653997e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.048048048048048029e-04,2.582568127847196804e-01,2.048048048048048029e-04,3.178750173416607927e-01,2.048048048048048029e-04,3.512889433615924428e-01,2.048048048048048029e-04,3.735308279589449332e-01,2.048048048048048029e-04,3.896317667479293201e-01,2.048048048048048029e-04,4.018886819470072758e-01,2.048048048048048029e-04,4.115372795018617524e-01,2.048048048048048029e-04,4.193152347681887160e-01,2.048048048048048029e-04,4.256960958379729099e-01,2.048048048048048029e-04,4.310006329719514584e-01,2.048048048048048029e-04,4.354553557177126000e-01,2.048048048048048029e-04,4.392255891500050358e-01,2.048048048048048029e-04,4.424353243327585616e-01,2.048048048048048029e-04,4.451796501427038311e-01,2.048048048048048029e-04,4.475329122796601888e-01,2.048048048048048029e-04,4.495542106946694982e-01,2.048048048048048029e-04,4.512911717247703458e-01,2.048048048048048029e-04,4.527826385912331331e-01,2.048048048048048029e-04,4.540606694105847052e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.096096096096096233e-04,2.805068308249528686e-01,2.096096096096096233e-04,3.437775372451708500e-01,2.096096096096096233e-04,3.790083873372562251e-01,2.096096096096096233e-04,4.023483408629245917e-01,2.096096096096096233e-04,4.191761583047667883e-01,2.096096096096096233e-04,4.319394096366498959e-01,2.096096096096096233e-04,4.419514547247515024e-01,2.096096096096096233e-04,4.499946372180012588e-01,2.096096096096096233e-04,4.565702398785332350e-01,2.096096096096096233e-04,4.620172527556183906e-01,2.096096096096096233e-04,4.665746878053927404e-01,2.096096096096096233e-04,4.704167511082982256e-01,2.096096096096096233e-04,4.736739237846380179e-01,2.096096096096096233e-04,4.764461488388702093e-01,2.096096096096096233e-04,4.788114761527957897e-01,2.096096096096096233e-04,4.808318813833568628e-01,2.096096096096096233e-04,4.825572548507868764e-01,2.096096096096096233e-04,4.840282440888742377e-01,2.096096096096096233e-04,4.852783629984864233e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.144144144144144166e-04,3.039348231175100779e-01,2.144144144144144166e-04,3.709317998392549498e-01,2.144144144144144166e-04,4.079965730320418982e-01,2.144144144144144166e-04,4.324346032593723854e-01,2.144144144144144166e-04,4.499825386074636224e-01,2.144144144144144166e-04,4.632423550263799483e-01,2.144144144144144166e-04,4.736067192856870389e-01,2.144144144144144166e-04,4.819034511223200257e-01,2.144144144144144166e-04,4.886619889085448420e-01,2.144144144144144166e-04,4.942397696962408937e-01,2.144144144144144166e-04,4.988884316960004450e-01,2.144144144144144166e-04,5.027911280676956585e-01,2.144144144144144166e-04,5.060848627400037492e-01,2.144144144144144166e-04,5.088744459307557033e-01,2.144144144144144166e-04,5.112416331124736146e-01,2.144144144144144166e-04,5.132512701452346393e-01,2.144144144144144166e-04,5.149555017778542076e-01,2.144144144144144166e-04,5.163967680367956836e-01,2.144144144144144166e-04,5.176100256944117239e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.192192192192192371e-04,3.285608628472761472e-01,2.192192192192192371e-04,3.993527702479379160e-01,2.192192192192192371e-04,4.382650353106716801e-01,2.192192192192192371e-04,4.637986379832121919e-01,2.192192192192192371e-04,4.820579834787463436e-01,2.192192192192192371e-04,4.958030259815363605e-01,2.192192192192192371e-04,5.065072832021598748e-01,2.192192192192192371e-04,5.150447897952711296e-01,2.192192192192192371e-04,5.219735144322098508e-01,2.192192192192192371e-04,5.276695359529514073e-01,2.192192192192192371e-04,5.323972191135420973e-01,2.192192192192192371e-04,5.363487126193692278e-01,2.192192192192192371e-04,5.396675624795633786e-01,2.192192192192192371e-04,5.424634486825433699e-01,2.192192192192192371e-04,5.448218253339340844e-01,2.192192192192192371e-04,5.468103962458251699e-01,2.192192192192192371e-04,5.484835455276261262e-01,2.192192192192192371e-04,5.498854893230694652e-01,2.192192192192192371e-04,5.510526105593485102e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.240240240240240304e-04,3.544041470039019925e-01,2.240240240240240304e-04,4.290544599113016444e-01,2.240240240240240304e-04,4.698243559417292770e-01,2.240240240240240304e-04,4.964485351448877370e-01,2.240240240240240304e-04,5.154086623287751356e-01,2.240240240240240304e-04,5.296260516356874337e-01,2.240240240240240304e-04,5.406565050706579889e-01,2.240240240240240304e-04,5.494209413830539734e-01,2.240240240240240304e-04,5.565061877302828197e-01,2.240240240240240304e-04,5.623071270396635679e-01,2.240240240240240304e-04,5.671009273784547444e-01,2.240240240240240304e-04,5.710887639239734526e-01,2.240240240240240304e-04,5.744207306406459157e-01,2.240240240240240304e-04,5.772113694021167030e-01,2.240240240240240304e-04,5.795498177065668832e-01,2.240240240240240304e-04,5.815066183970727387e-01,2.240240240240240304e-04,5.831383744347558018e-01,2.240240240240240304e-04,5.844910572159361939e-01,2.240240240240240304e-04,5.856024553625387430e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.288288288288288508e-04,3.814830147580774433e-01,2.288288288288288508e-04,4.600499585724258100e-01,2.288288288288288508e-04,5.026842021460264931e-01,2.288288288288288508e-04,5.303914944086762784e-01,2.288288288288288508e-04,5.500398827218742070e-01,2.288288288288288508e-04,5.647152284123739818e-01,2.288288288288288508e-04,5.760569390214558272e-01,2.288288288288288508e-04,5.850334164064314724e-01,2.288288288288288508e-04,5.922606277525674923e-01,2.288288288288288508e-04,5.981523898990798171e-01,2.288288288288288508e-04,6.029987275410154668e-01,2.288288288288288508e-04,6.070098558144554346e-01,2.288288288288288508e-04,6.103424092222711206e-01,2.288288288288288508e-04,6.131157732978588237e-01,2.288288288288288508e-04,6.154227455042260431e-01,2.288288288288288508e-04,6.173366822122255959e-01,2.288288288288288508e-04,6.189163793644500977e-01,2.288288288288288508e-04,6.202095383275848528e-01,2.288288288288288508e-04,6.212553292792709625e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.336336336336336441e-04,4.098149664400880243e-01,2.336336336336336441e-04,4.923514658950873812e-01,2.336336336336336441e-04,5.368533641649128052e-01,2.336336336336336441e-04,5.656338658695523325e-01,2.336336336336336441e-04,5.859561332330351924e-01,2.336336336336336441e-04,6.010735641010224173e-01,2.336336336336336441e-04,6.127103795425475896e-01,2.336336336336336441e-04,6.218829930239379022e-01,2.336336336336336441e-04,6.292367466100780016e-01,2.336336336336336441e-04,6.352044884763786703e-01,2.336336336336336441e-04,6.400891299309888760e-01,2.336336336336336441e-04,6.441099222449346851e-01,2.336336336336336441e-04,6.474300198768824233e-01,2.336336336336336441e-04,6.501736235715838141e-01,2.336336336336336441e-04,6.524371592485171956e-01,2.336336336336336441e-04,6.542967648167308248e-01,2.336336336336336441e-04,6.558133980543366937e-01,2.336336336336336441e-04,6.570364606750344061e-01,2.336336336336336441e-04,6.580064766624189598e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.384384384384384374e-04,4.394166829748000769e-01,2.384384384384384374e-04,5.259703226195948655e-01,2.384384384384384374e-04,5.723397918003851892e-01,2.384384384384384374e-04,6.021811895157480610e-01,2.384384384384384374e-04,6.231611246098321955e-01,2.384384384384384374e-04,6.387033200261220678e-01,2.384384384384384374e-04,6.506179042315016758e-01,2.384384384384384374e-04,6.599697600912850515e-01,2.384384384384384374e-04,6.674337927567490780e-01,2.384384384384384374e-04,6.734619468949836207e-01,2.384384384384384374e-04,6.783700272369287410e-01,2.384384384384384374e-04,6.823863002087607876e-01,2.384384384384384374e-04,6.856804066204934545e-01,2.384384384384384374e-04,6.883813238870560847e-01,2.384384384384384374e-04,6.905890669114619351e-01,2.384384384384384374e-04,6.923825167678067105e-01,2.384384384384384374e-04,6.938247567389795867e-01,2.384384384384384374e-04,6.949668550015937196e-01,2.384384384384384374e-04,6.958506580558975196e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.432432432432432578e-04,4.703040456453785323e-01,2.432432432432432578e-04,5.609170411808657164e-01,2.432432432432432578e-04,6.091506298929565411e-01,2.432432432432432578e-04,6.400382332757075243e-01,2.432432432432432578e-04,6.616578292645772796e-01,2.432432432432432578e-04,6.776060513558848086e-01,2.432432432432432578e-04,6.897799145392430331e-01,2.432432432432432578e-04,6.992931580960749516e-01,2.432432432432432578e-04,7.068503919527275858e-01,2.432432432432432578e-04,7.129226903376477686e-01,2.432432432432432578e-04,7.178387352281265787e-01,2.432432432432432578e-04,7.218357702473788828e-01,2.432432432432432578e-04,7.250898760905014617e-01,2.432432432432432578e-04,7.277347583501759809e-01,2.432432432432432578e-04,7.298739735996860878e-01,2.432432432432432578e-04,7.315891014303307349e-01,2.432432432432432578e-04,7.329453092096210876e-01,2.432432432432432578e-04,7.339952935159763658e-01,2.432432432432432578e-04,7.347821886111769452e-01,0.000000000000000000e+00,0.000000000000000000e+00
