# P=6000,vT,P=6100,vT,P=6200,vT,P=6300,vT,P=6400,vT,P=6500,vT,P=6600,vT,P=6700,vT,P=6800,vT,P=6900,vT,P=7000,vT,P=7100,vT,P=7200,vT,P=7300,vT,P=7400,vT,P=7500,vT,P=7600,vT,P=7700,vT,P=7800,vT,P=7900,vT,P=100,vT,
9.999999999999999547e-07,3.182369291718869109e-03,9.999999999999999547e-07,3.171034129558265250e-03,9.999999999999999547e-07,3.159773341302861242e-03,9.999999999999999547e-07,3.148581109132423707e-03,9.999999999999999547e-07,3.137454818530414913e-03,9.999999999999999547e-07,3.126394643878262995e-03,9.999999999999999547e-07,3.115400847030129136e-03,9.999999999999999547e-07,3.104473655907791143e-03,9.999999999999999547e-07,3.093613264714780309e-03,9.999999999999999547e-07,3.082819834369716645e-03,9.999999999999999547e-07,3.072093493121294799e-03,9.999999999999999547e-07,3.061434337301449822e-03,9.999999999999999547e-07,3.050842432193339067e-03,9.999999999999999547e-07,3.040317812986902905e-03,9.999999999999999547e-07,3.029860485797005159e-03,9.999999999999999547e-07,3.019470428732266062e-03,9.999999999999999547e-07,3.009147592992479549e-03,9.999999999999999547e-07,2.998891903988277520e-03,9.999999999999999547e-07,2.988703262467618058e-03,9.999999999999999547e-07,2.978581545642918979e-03,9.999999999999999547e-07,5.515937805877456183e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.499499499499499335e-06,4.759283793402339924e-03,1.499499499499499335e-06,4.742306764580853443e-03,1.499499499499499335e-06,4.725442486073086999e-03,1.499499499499499335e-06,4.708682233138894967e-03,1.499499499499499335e-06,4.692022051944916804e-03,1.499499499499499335e-06,4.675462142364548990e-03,1.499499499499499335e-06,4.659002836774097690e-03,1.499499499499499335e-06,4.642644419238322467e-03,1.499499499499499335e-06,4.626387125729279452e-03,1.499499499499499335e-06,4.610231144680761520e-03,1.499499499499499335e-06,4.594176617813316293e-03,1.499499499499499335e-06,4.578223641173312548e-03,1.499499499499499335e-06,4.562372266346904036e-03,1.499499499499499335e-06,4.546622501804437576e-03,1.499499499499499335e-06,4.530974314348282760e-03,1.499499499499499335e-06,4.515427630632401143e-03,1.499499499499499335e-06,4.499982338734162708e-03,1.499499499499499335e-06,4.484638289758388283e-03,1.499499499499499335e-06,4.469395299455617560e-03,1.499499499499499335e-06,4.454253149844280245e-03,1.499499499499499335e-06,8.262926872434848621e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.998998998998998928e-06,6.327863981856662358e-03,1.998998998998998928e-06,6.305258482106699397e-03,1.998998998998998928e-06,6.282804902954258579e-03,1.998998998998998928e-06,6.260491612206395794e-03,1.998998998998998928e-06,6.238313295033670776e-03,1.998998998998998928e-06,6.216270136719687957e-03,1.998998998998998928e-06,6.194362500958996640e-03,1.998998998998998928e-06,6.172590690432798975e-03,1.998998998998998928e-06,6.150954946971058136e-03,1.998998998998998928e-06,6.129455452159631584e-03,1.998998998998998928e-06,6.108092328315149235e-03,1.998998998998998928e-06,6.086865639749061349e-03,1.998998998998998928e-06,6.065775394267228053e-03,1.998998998998998928e-06,6.044821544852014769e-03,1.998998998998998928e-06,6.024003991478787089e-03,1.998998998998998928e-06,6.003322583040544835e-03,1.998998998998998928e-06,5.982777119340654433e-03,1.998998998998998928e-06,5.962367353131890584e-03,1.998998998998998928e-06,5.942092992182937752e-03,1.998998998998998928e-06,5.921953701348431354e-03,1.998998998998998928e-06,1.100446735573363394e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.498498498498498520e-06,7.888191992466842342e-03,2.498498498498498520e-06,7.859971446774666193e-03,2.498498498498498520e-06,7.831942768810346706e-03,2.498498498498498520e-06,7.804091418452560776e-03,2.498498498498498520e-06,7.776410698601357412e-03,2.498498498498498520e-06,7.748900740573661829e-03,2.498498498498498520e-06,7.721561900872240571e-03,2.498498498498498520e-06,7.694394463942825363e-03,2.498498498498498520e-06,7.667398642209658464e-03,2.498498498498498520e-06,7.640574576674505694e-03,2.498498498498498520e-06,7.613922337976816203e-03,2.498498498498498520e-06,7.587441927825731500e-03,2.498498498498498520e-06,7.561133280727709571e-03,2.498498498498498520e-06,7.534996265945038095e-03,2.498498498498498520e-06,7.509030689636988012e-03,2.498498498498498520e-06,7.483236297129239496e-03,2.498498498498498520e-06,7.457612775280869633e-03,2.498498498498498520e-06,7.432159754913532541e-03,2.498498498498498520e-06,7.406876813275142281e-03,2.498498498498498520e-06,7.381763476518704223e-03,2.498498498498498520e-06,1.374057947702496223e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.997997997997998113e-06,9.440348758310864938e-03,2.997997997997998113e-06,9.406526618137671381e-03,2.997997997997998113e-06,9.372937053012453390e-03,2.997997997997998113e-06,9.339562614471618590e-03,2.997997997997998113e-06,9.306395202264993241e-03,2.997997997997998113e-06,9.273434855058711873e-03,2.997997997997998113e-06,9.240681884336229834e-03,2.997997997997998113e-06,9.208136520112410184e-03,2.997997997997998113e-06,9.175798910779247794e-03,2.997997997997998113e-06,9.143669123630061152e-03,2.997997997997998113e-06,9.111747145947290613e-03,2.997997997997998113e-06,9.080032886540290865e-03,2.997997997997998113e-06,9.048526177643494844e-03,2.997997997997998113e-06,9.017226777102182664e-03,2.997997997997998113e-06,8.986134370775748434e-03,2.997997997997998113e-06,8.955248575108836276e-03,2.997997997997998113e-06,8.924568939820153035e-03,2.997997997997998113e-06,8.894094950673600564e-03,2.997997997997998113e-06,8.863826032296981058e-03,2.997997997997998113e-06,8.833761551022537364e-03,2.997997997997998113e-06,1.647128334571901220e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.497497497497497705e-06,1.098441403360720520e-02,3.497497497497497705e-06,1.094500377420687919e-02,3.497497497497497705e-06,1.090586754107533869e-02,3.497497497497497705e-06,1.086698497705125381e-02,3.497497497497497705e-06,1.082834655824390854e-02,3.497497497497497705e-06,1.078995219266224749e-02,3.497497497497497705e-06,1.075180210961120333e-02,3.497497497497497705e-06,1.071389644912657327e-02,3.497497497497497705e-06,1.067623526156233522e-02,3.497497497497497705e-06,1.063881850798183669e-02,3.497497497497497705e-06,1.060164606120871100e-02,3.497497497497497705e-06,1.056471770741404873e-02,3.497497497497497705e-06,1.052803314812817900e-02,3.497497497497497705e-06,1.049159200259710580e-02,3.497497497497497705e-06,1.045539381039840149e-02,3.497497497497497705e-06,1.041943803426224023e-02,3.497497497497497705e-06,1.038372406303271663e-02,3.497497497497497705e-06,1.034825121473599389e-02,3.497497497497497705e-06,1.031301873970804153e-02,3.497497497497497705e-06,1.027802582375398309e-02,3.497497497497497705e-06,1.919659896021119402e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.996996996996996450e-06,1.252046641658910268e-02,3.996996996996996450e-06,1.247548153442410053e-02,3.996996996996996450e-06,1.243081285771574333e-02,3.996996996996996450e-06,1.238643712030852023e-02,3.996996996996996450e-06,1.234234335456276324e-02,3.996996996996996450e-06,1.229853130048950624e-02,3.996996996996996450e-06,1.225500106871172182e-02,3.996996996996996450e-06,1.221175267436913972e-02,3.996996996996996450e-06,1.216878603638386208e-02,3.996996996996996450e-06,1.212610097765550593e-02,3.996996996996996450e-06,1.208369722601652756e-02,3.996996996996996450e-06,1.204157441580706867e-02,3.996996996996996450e-06,1.199973208994882523e-02,3.996996996996996450e-06,1.195816970241438126e-02,3.996996996996996450e-06,1.191688662100760972e-02,3.996996996996996450e-06,1.187588213037934007e-02,3.996996996996996450e-06,1.183515543521949064e-02,3.996996996996996450e-06,1.179470566357162034e-02,3.996996996996996450e-06,1.175453187022635487e-02,3.996996996996996450e-06,1.171463304015914371e-02,3.996996996996996450e-06,2.191654620869816147e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.496496496496496043e-06,1.404858337182357357e-02,4.496496496496496043e-06,1.399803738207399013e-02,4.496496496496496043e-06,1.394785048934914402e-02,4.496496496496496043e-06,1.389799651826168284e-02,4.496496496496496043e-06,1.384846303769041685e-02,4.496496496496496043e-06,1.379924958295946497e-02,4.496496496496496043e-06,1.375035611014906005e-02,4.496496496496496043e-06,1.370178247520653994e-02,4.496496496496496043e-06,1.365352843282747683e-02,4.496496496496496043e-06,1.360559363639100502e-02,4.496496496496496043e-06,1.355797763876086422e-02,4.496496496496496043e-06,1.351067989379140313e-02,4.496496496496496043e-06,1.346369975840612694e-02,4.496496496496496043e-06,1.341703649512926595e-02,4.496496496496496043e-06,1.337068927497512758e-02,4.496496496496496043e-06,1.332465718061455473e-02,4.496496496496496043e-06,1.327893920974507723e-02,4.496496496496496043e-06,1.323353427860931263e-02,4.496496496496496043e-06,1.318844122561064168e-02,4.496496496496496043e-06,1.314365881498524499e-02,4.496496496496496043e-06,2.463114486998861652e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.995995995995995635e-06,1.556884125199351279e-02,4.995995995995995635e-06,1.551274768615398120e-02,4.995995995995995635e-06,1.545705680604041350e-02,4.995995995995995635e-06,1.540173952685350116e-02,4.995995995995995635e-06,1.534678193462571741e-02,4.995995995995995635e-06,1.529218332394610344e-02,4.995995995995995635e-06,1.523794346112127690e-02,4.995995995995995635e-06,1.518406200921841413e-02,4.995995995995995635e-06,1.513053852649742272e-02,4.995995995995995635e-06,1.507737246602649551e-02,4.995995995995995635e-06,1.502456317626841252e-02,4.995995995995995635e-06,1.497210990246271474e-02,4.995995995995995635e-06,1.492001178865111528e-02,4.995995995995995635e-06,1.486826788022000898e-02,4.995995995995995635e-06,1.481687712684992553e-02,4.995995995995995635e-06,1.476583838578009004e-02,4.995995995995995635e-06,1.471515042531258873e-02,4.995995995995995635e-06,1.466481192848816291e-02,4.995995995995995635e-06,1.461482149688191588e-02,4.995995995995995635e-06,1.456517765446805474e-02,4.995995995995995635e-06,2.734041461431508876e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.495495495495495228e-06,1.708131531915329029e-02,5.495495495495495228e-06,1.701968772271899438e-02,5.495495495495495228e-06,1.695850708292636483e-02,5.495495495495495228e-06,1.689774140544277395e-02,5.495495495495495228e-06,1.683737527445098789e-02,5.495495495495495228e-06,1.677740770838422740e-02,5.495495495495495228e-06,1.671783824916351843e-02,5.495495495495495228e-06,1.665866633388337140e-02,5.495495495495495228e-06,1.659989129273552882e-02,5.495495495495495228e-06,1.654151234824013939e-02,5.495495495495495228e-06,1.648352861556162674e-02,5.495495495495495228e-06,1.642593910370922228e-02,5.495495495495495228e-06,1.636874271745623888e-02,5.495495495495495228e-06,1.631193825983983173e-02,5.495495495495495228e-06,1.625552443511952064e-02,5.495495495495495228e-06,1.619949985209408194e-02,5.495495495495495228e-06,1.614386302769173914e-02,5.495495495495495228e-06,1.608861239076090147e-02,5.495495495495495228e-06,1.603374628599941315e-02,5.495495495495495228e-06,1.597926297797487571e-02,5.495495495495495228e-06,3.004437500412095521e-02,0.000000000000000000e+00,0.000000000000000000e+00
