# P=600,vT,P=700,vT,P=800,vT,P=900,vT,P=1000,vT,P=1100,vT,P=1200,vT,P=1300,vT,P=1400,vT,P=1500,vT,P=1600,vT,P=1700,vT,P=1800,vT,P=1900,vT,P=100,vT,
5.000000000000000104e-04,2.630090573384854039e-02,5.000000000000000104e-04,2.546237949185529634e-02,5.000000000000000104e-04,2.475007768668782346e-02,5.000000000000000104e-04,2.413416207289217560e-02,5.000000000000000104e-04,2.359436781277849532e-02,5.000000000000000104e-04,2.311631505551864363e-02,5.000000000000000104e-04,2.268907274053986664e-02,5.000000000000000104e-04,2.230414006311676883e-02,5.000000000000000104e-04,2.195485523058522334e-02,5.000000000000000104e-04,2.163586899264258526e-02,5.000000000000000104e-04,2.134260913784510882e-02,5.000000000000000104e-04,2.107135792601932955e-02,5.000000000000000104e-04,2.081913580269142625e-02,5.000000000000000104e-04,2.058350465942291804e-02,5.000000000000000104e-04,3.584054999977044631e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.045045045045044906e-04,2.656186172411981183e-02,5.045045045045044906e-04,2.571331168740102757e-02,5.045045045045044906e-04,2.499254420941287094e-02,5.045045045045044906e-04,2.436933457266274652e-02,5.045045045045044906e-04,2.382315735176137109e-02,5.045045045045044906e-04,2.333944895527046565e-02,5.045045045045044906e-04,2.290714275707501218e-02,5.045045045045044906e-04,2.251763530862453677e-02,5.045045045045044906e-04,2.216418566880483040e-02,5.045045045045044906e-04,2.184138227138315499e-02,5.045045045045044906e-04,2.154460239761413903e-02,5.045045045045044906e-04,2.127008760647334379e-02,5.045045045045044906e-04,2.101482536629874220e-02,5.045045045045044906e-04,2.077635044726051580e-02,5.045045045045044906e-04,3.622756152277259445e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.090090090090089708e-04,2.682254963652825133e-02,5.090090090090089708e-04,2.596396015483354996e-02,5.090090090090089708e-04,2.523471478901072318e-02,5.090090090090089708e-04,2.460420122240392082e-02,5.090090090090089708e-04,2.405163272307061714e-02,5.090090090090089708e-04,2.356226147802591153e-02,5.090090090090089708e-04,2.312488499534929784e-02,5.090090090090089708e-04,2.273079699182742677e-02,5.090090090090089708e-04,2.237317724831143495e-02,5.090090090090089708e-04,2.204655179657051892e-02,5.090090090090089708e-04,2.174624737378660216e-02,5.090090090090089708e-04,2.146846481244998883e-02,5.090090090090089708e-04,2.121015857797688142e-02,5.090090090090089708e-04,2.096883629594848905e-02,5.090090090090089708e-04,3.661471726011163164e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.135135135135135594e-04,2.708296450487529539e-02,5.135135135135135594e-04,2.621432034854333584e-02,5.135135135135135594e-04,2.547658523392236710e-02,5.135135135135135594e-04,2.483875813576545341e-02,5.135135135135135594e-04,2.427979030872893379e-02,5.135135135135135594e-04,2.378474924584822806e-02,5.135135135135135594e-04,2.334229629505541609e-02,5.135135135135135594e-04,2.294362215185496295e-02,5.135135135135135594e-04,2.258182719260783816e-02,5.135135135135135594e-04,2.225137496334652493e-02,5.135135135135135594e-04,2.194754162195652544e-02,5.135135135135135594e-04,2.166648725000504261e-02,5.135135135135135594e-04,2.140513328526948492e-02,5.135135135135135594e-04,2.116096018639904847e-02,5.135135135135135594e-04,3.700200655376510023e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.180180180180180395e-04,2.734310152056173768e-02,5.180180180180180395e-04,2.646438787389917072e-02,5.180180180180180395e-04,2.571815149781161991e-02,5.180180180180180395e-04,2.507300156653492762e-02,5.180180180180180395e-04,2.450762662634272879e-02,5.180180180180180395e-04,2.400690901225696616e-02,5.180180180180180395e-04,2.355937362356380280e-02,5.180180180180180395e-04,2.315610795202460714e-02,5.180180180180180395e-04,2.279013284613739046e-02,5.180180180180180395e-04,2.245584928475253053e-02,5.180180180180180395e-04,2.214848281275533931e-02,5.180180180180180395e-04,2.186415273752697827e-02,5.180180180180180395e-04,2.159974744548833273e-02,5.180180180180180395e-04,2.135272020685366132e-02,5.180180180180180395e-04,3.738941896155067307e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.225225225225225197e-04,2.760295602818260349e-02,5.225225225225225197e-04,2.671415848294660805e-02,5.225225225225225197e-04,2.595940967535644711e-02,5.225225225225225197e-04,2.530692790451311361e-02,5.225225225225225197e-04,2.473513832505354684e-02,5.225225225225225197e-04,2.422873765824933717e-02,5.225225225225225197e-04,2.377611407200794919e-02,5.225225225225225197e-04,2.336825167598638453e-02,5.225225225225225197e-04,2.299809167048397565e-02,5.225225225225225197e-04,2.265997238798111990e-02,5.225225225225225197e-04,2.234906872815241308e-02,5.225225225225225197e-04,2.206145920208404249e-02,5.225225225225225197e-04,2.179399912210471663e-02,5.225225225225225197e-04,2.154411454931693184e-02,5.225225225225225197e-04,3.777694425224752822e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.270270270270269999e-04,2.786252352125909160e-02,5.270270270270269999e-04,2.696362807024198921e-02,5.270270270270269999e-04,2.620035599817450295e-02,5.270270270270269999e-04,2.554053367152184922e-02,5.270270270270269999e-04,2.496232218162110564e-02,5.270270270270269999e-04,2.445023218845154486e-02,5.270270270270269999e-04,2.399251485149863847e-02,5.270270270270269999e-04,2.358005072399550067e-02,5.270270270270269999e-04,2.320570124069886928e-02,5.270270270270269999e-04,2.286374201075407411e-02,5.270270270270269999e-04,2.254929725788128517e-02,5.270270270270269999e-04,2.225840467589617136e-02,5.270270270270269999e-04,2.198788648126503292e-02,5.270270270270269999e-04,2.173514150611405640e-02,5.270270270270269999e-04,3.816457240085415620e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.315315315315315885e-04,2.812179963810301775e-02,5.315315315315315885e-04,2.721279266881725806e-02,5.315315315315315885e-04,2.644098683087775861e-02,5.315315315315315885e-04,2.577381551753990530e-02,5.315315315315315885e-04,2.518917509663265789e-02,5.315315315315315885e-04,2.467138972739540970e-02,5.315315315315315885e-04,2.420857328946264542e-02,5.315315315315315885e-04,2.379150260930817593e-02,5.315315315315315885e-04,2.341295924175031823e-02,5.315315315315315885e-04,2.306715599782193857e-02,5.315315315315315885e-04,2.274916639598649482e-02,5.315315315315315885e-04,2.245498729292684167e-02,5.315315315315315885e-04,2.218140778842550911e-02,5.315315315315315885e-04,2.192579946656663184e-02,5.315315315315315885e-04,3.855229358397981726e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.360360360360360687e-04,2.838078015780903449e-02,5.360360360360360687e-04,2.746164844627076163e-02,5.360360360360360687e-04,2.668129866725155869e-02,5.360360360360360687e-04,2.600677021696150282e-02,5.360360360360360687e-04,2.541569409083385342e-02,5.360360360360360687e-04,2.489220751591554245e-02,5.360360360360360687e-04,2.442428682610062532e-02,5.360360360360360687e-04,2.400260495469619740e-02,5.360360360360360687e-04,2.361986346509038423e-02,5.360360360360360687e-04,2.327021229758035811e-02,5.360360360360360687e-04,2.294867423748658125e-02,5.360360360360360687e-04,2.265120528559041654e-02,5.360360360360360687e-04,2.237456140510184904e-02,5.360360360360360687e-04,2.211608691378268501e-02,5.360360360360360687e-04,3.894009817536388945e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.405405405405405489e-04,2.863946099636923565e-02,5.405405405405405489e-04,2.771019170097919690e-02,5.405405405405405489e-04,2.692128812655353656e-02,5.405405405405405489e-04,2.623939466497374196e-02,5.405405405405405489e-04,2.564187630157745493e-02,5.405405405405405489e-04,2.511268290766293168e-02,5.405405405405405489e-04,2.463965301096050081e-02,5.405405405405405489e-04,2.421335548907554286e-02,5.405405405405405489e-04,2.382641180533535269e-02,5.405405405405405489e-04,2.347290895879902001e-02,5.405405405405405489e-04,2.314781897514892398e-02,5.405405405405405489e-04,2.284705698157036072e-02,5.405405405405405489e-04,2.256734578572898095e-02,5.405405405405405489e-04,2.230600242155643051e-02,5.405405405405405489e-04,3.932797674151829181e-02,0.000000000000000000e+00,0.000000000000000000e+00
