# P=500,vT,P=600,vT,P=700,vT,P=800,vT,P=900,vT,P=100,vT,
5.000000000000000104e-04,1.793050570654039777e-01,5.000000000000000104e-04,1.716632930818108582e-01,5.000000000000000104e-04,1.654063101158683158e-01,5.000000000000000104e-04,1.601317411490957576e-01,5.000000000000000104e-04,1.555879333274779730e-01,5.000000000000000104e-04,2.606243218022317731e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.045045045045044906e-04,1.808410629453369167e-01,5.045045045045044906e-04,1.731145826075411454e-01,5.045045045045044906e-04,1.667887215533635226e-01,5.045045045045044906e-04,1.614564726952056883e-01,5.045045045045044906e-04,1.568632855576066742e-01,5.045045045045044906e-04,2.630821175607055973e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.090090090090089708e-04,1.823724286967723374e-01,5.090090090090089708e-04,1.745612627145107787e-01,5.090090090090089708e-04,1.681665592736085735e-01,5.090090090090089708e-04,1.627766684483636928e-01,5.090090090090089708e-04,1.581341406683126338e-01,5.090090090090089708e-04,2.655355509432603123e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.135135135135135594e-04,1.838991627242840265e-01,5.135135135135135594e-04,1.760033449820263829e-01,5.135135135135135594e-04,1.695398373574871220e-01,5.135135135135135594e-04,1.640923445179492957e-01,5.135135135135135594e-04,1.594005164498070726e-01,5.135135135135135594e-04,2.679845936152043806e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.180180180180180395e-04,1.854212739913008723e-01,5.180180180180180395e-04,1.774408414607466233e-01,5.180180180180180395e-04,1.709085702850672850e-01,5.180180180180180395e-04,1.654035173515297774e-01,5.180180180180180395e-04,1.606624309779727811e-01,5.180180180180180395e-04,2.704292186308442369e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.225225225225225197e-04,1.869387719929011815e-01,5.225225225225225197e-04,1.788737646476899201e-01,5.225225225225225197e-04,1.722727729124961249e-01,5.225225225225225197e-04,1.667102037133981196e-01,5.225225225225225197e-04,1.619199025943545700e-01,5.225225225225225197e-04,2.728694003883063157e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.270270270270269999e-04,1.884516667297518600e-01,5.270270270270269999e-04,1.803021274623276826e-01,5.270270270270269999e-04,1.736324604499309421e-01,5.270270270270269999e-04,1.680124206641019635e-01,5.270270270270269999e-04,1.631729498870991280e-01,5.270270270270269999e-04,2.753051145858966264e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.315315315315315885e-04,1.899599686831426049e-01,5.315315315315315885e-04,1.817259432237183781e-01,5.315315315315315885e-04,1.749876484404605248e-01,5.315315315315315885e-04,1.693101855409192003e-01,5.315315315315315885e-04,1.644215916728022087e-01,5.315315315315315885e-04,2.777363381799480835e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.360360360360360687e-04,1.914636887910641516e-01,5.360360360360360687e-04,1.831452256286317803e-01,5.360360360360360687e-04,1.763383527399701722e-01,5.360360360360360687e-04,1.706035159392338130e-01,5.360360360360360687e-04,1.656658469792168520e-01,5.360360360360360687e-04,2.801630493440955827e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.405405405405405489e-04,1.929628384252888573e-01,5.405405405405405489e-04,1.845599887306215992e-01,5.405405405405405489e-04,1.776845894979082741e-01,5.405405405405405489e-04,1.718924296947718644e-01,5.405405405405405489e-04,1.669057350287840580e-01,5.405405405405405489e-04,2.825852274299230915e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.450450450450450290e-04,1.944574293694072142e-01,5.450450450450450290e-04,1.859702469200038011e-01,5.450450450450450290e-04,1.790263751389118418e-01,5.450450450450450290e-04,1.731769448666563571e-01,5.450450450450450290e-04,1.681412752229459462e-01,5.450450450450450290e-04,2.850028529289319601e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.495495495495496176e-04,1.959474737977787151e-01,5.495495495495496176e-04,1.873760149046976298e-01,5.495495495495496176e-04,1.803637263452539108e-01,5.495495495495496176e-04,1.744570797212440516e-01,5.495495495495496176e-04,1.693724871272044019e-01,5.495495495495496176e-04,2.874159074357840460e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.540540540540540978e-04,1.974329842553591841e-01,5.540540540540540978e-04,1.887773076918962123e-01,5.540540540540540978e-04,1.816966600400736209e-01,5.540540540540540978e-04,1.757328527167070220e-01,5.540540540540540978e-04,1.705993904568920416e-01,5.540540540540540978e-04,2.898243736127640857e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.585585585585585780e-04,1.989139736383646884e-01,5.585585585585585780e-04,1.901741405705252297e-01,5.585585585585585780e-04,1.830251933713560042e-01,5.585585585585585780e-04,1.770042824883265864e-01,5.585585585585585780e-04,1.718220050636198870e-01,5.585585585585585780e-04,2.922282351554258972e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.630630630630630582e-04,2.003904551757389185e-01,5.630630630630630582e-04,1.915665290944579546e-01,5.630630630630630582e-04,1.843493436966258392e-01,5.630630630630630582e-04,1.782713878344656666e-01,5.630630630630630582e-04,1.730403509223711889e-01,5.630630630630630582e-04,2.946274767593697885e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.675675675675675384e-04,2.018624424113858173e-01,5.675675675675675384e-04,1.929544890664514900e-01,5.675675675675675384e-04,1.856691285683245429e-01,5.675675675675675384e-04,1.795341877031880751e-01,5.675675675675675384e-04,1.742544481192125072e-01,5.675675675675675384e-04,2.970220840881172553e-01,0.000000000000000000e+00,0.000000000000000000e+00
