# P=1,vT,P=1,vT,P=1,vT,P=1,vT,P=2,vT,P=3,vT,P=3,vT,P=5,vT,P=6,vT,P=7,vT,P=10,vT,P=12,vT,P=15,vT,P=19,vT,P=25,vT,P=31,vT,P=39,vT,P=50,vT,P=63,vT,P=79,vT,P=100,vT,P=125,vT,P=158,vT,P=199,vT,P=251,vT,P=316,vT,P=398,vT,P=501,vT,P=630,vT,P=794,vT,P=1000,vT,P=1258,vT,P=1584,vT,P=1995,vT,P=2511,vT,P=3162,vT,P=3981,vT,P=5011,vT,P=6309,vT,P=7943,vT,
8.000000000000000167e-08,3.170447284525844899e-04,8.000000000000000167e-08,2.453112052958893478e-04,8.000000000000000167e-08,1.927006320253259230e-04,8.000000000000000167e-08,1.510654470714474940e-04,8.000000000000000167e-08,1.199180034688923955e-04,8.000000000000000167e-08,9.638064708358333964e-05,8.000000000000000167e-08,7.691558745555470583e-05,8.000000000000000167e-08,6.032013234412999072e-05,8.000000000000000167e-08,4.663784440471933153e-05,8.000000000000000167e-08,3.639437680915368067e-05,8.000000000000000167e-08,2.930602489150293180e-05,8.000000000000000167e-08,2.405337905981655365e-05,8.000000000000000167e-08,1.871658288379593265e-05,8.000000000000000167e-08,1.395537648691112441e-05,8.000000000000000167e-08,1.083961030329485571e-05,8.000000000000000167e-08,8.621247653374437372e-06,8.000000000000000167e-08,6.820939697055523536e-06,8.000000000000000167e-08,5.400489134558700367e-06,8.000000000000000167e-08,4.303110050974062656e-06,8.000000000000000167e-08,3.453594544251574678e-06,8.000000000000000167e-08,2.776424852283715539e-06,8.000000000000000167e-08,2.242201567949394517e-06,8.000000000000000167e-08,1.830523873228671132e-06,8.000000000000000167e-08,1.506783944843012833e-06,8.000000000000000167e-08,1.249484143551674712e-06,8.000000000000000167e-08,1.046605382885605243e-06,8.000000000000000167e-08,8.883488470840894972e-07,8.000000000000000167e-08,7.644783221282963498e-07,8.000000000000000167e-08,6.654445740628283816e-07,8.000000000000000167e-08,5.851808529547865726e-07,8.000000000000000167e-08,5.184596951060933156e-07,8.000000000000000167e-08,4.610430525078195564e-07,8.000000000000000167e-08,4.120958034968946861e-07,8.000000000000000167e-08,3.708714627742974285e-07,8.000000000000000167e-08,3.355842727595101213e-07,8.000000000000000167e-08,3.042577282322355923e-07,8.000000000000000167e-08,2.756775982504458971e-07,8.000000000000000167e-08,2.490094519147485178e-07,8.000000000000000167e-08,2.236715784090078023e-07,8.000000000000000167e-08,1.993808863356313134e-07,0.000000000000000000e+00,0.000000000000000000e+00
9.999999999999999547e-08,3.963558453686425831e-04,9.999999999999999547e-08,3.066898042176265386e-04,9.999999999999999547e-08,2.409269596071942200e-04,9.999999999999999547e-08,1.888834158117937839e-04,9.999999999999999547e-08,1.499491619126167203e-04,9.999999999999999547e-08,1.205271343638674781e-04,9.999999999999999547e-08,9.619570868997132746e-05,9.999999999999999547e-08,7.545185576873566645e-05,9.999999999999999547e-08,5.834991846843868072e-05,9.999999999999999547e-08,4.554623221375547472e-05,9.999999999999999547e-08,3.668550017086037550e-05,9.999999999999999547e-08,3.011880753076421721e-05,9.999999999999999547e-08,2.344867463107707623e-05,9.999999999999999547e-08,1.749942886858843190e-05,9.999999999999999547e-08,1.360577584354935928e-05,9.999999999999999547e-08,1.083324956291754155e-05,9.999999999999999547e-08,8.583586840082876225e-06,9.999999999999999547e-08,6.808892363818152169e-06,9.999999999999999547e-08,5.438032469366381779e-06,9.999999999999999547e-08,4.376992098808313914e-06,9.999999999999999547e-08,3.531619443789984967e-06,9.999999999999999547e-08,2.865116631401363787e-06,9.999999999999999547e-08,2.351745847640121269e-06,9.999999999999999547e-08,1.948373564966774270e-06,9.999999999999999547e-08,1.628202788649083766e-06,9.999999999999999547e-08,1.376074608733502421e-06,9.999999999999999547e-08,1.179471123313140944e-06,9.999999999999999547e-08,1.025387116634608326e-06,9.999999999999999547e-08,9.018714700392462663e-07,9.999999999999999547e-08,8.012009371547307496e-07,9.999999999999999547e-08,7.168914927380915085e-07,9.999999999999999547e-08,6.442881007053384674e-07,9.999999999999999547e-08,5.824230788620532686e-07,9.999999999999999547e-08,5.299415192236616409e-07,9.999999999999999547e-08,4.841609305289935700e-07,9.999999999999999547e-08,4.424883166044007495e-07,9.999999999999999547e-08,4.036148312332468808e-07,9.999999999999999547e-08,3.665939761148028480e-07,9.999999999999999547e-08,3.307752309721752454e-07,9.999999999999999547e-08,2.959194744784975046e-07,0.000000000000000000e+00,0.000000000000000000e+00
1.099999999999999924e-07,4.360188974583296961e-04,1.099999999999999924e-07,3.373867278771386195e-04,1.099999999999999924e-07,2.650478047182316379e-04,1.099999999999999924e-07,2.078001488533466504e-04,1.099999999999999924e-07,1.649724993830347535e-04,1.099999999999999924e-07,1.326080886185593375e-04,1.099999999999999924e-07,1.058434676464897929e-04,1.099999999999999924e-07,8.302549004303678775e-05,1.099999999999999924e-07,6.421387281570431764e-05,1.099999999999999924e-07,5.013018224817279375e-05,1.099999999999999924e-07,4.038322368131053722e-05,1.099999999999999924e-07,3.315938179292577791e-05,1.099999999999999924e-07,2.582272483925825707e-05,1.099999999999999924e-07,1.927982585256317083e-05,1.099999999999999924e-07,1.499741569104602188e-05,1.099999999999999924e-07,1.194790124373808836e-05,1.099999999999999924e-07,9.473708243847320058e-06,1.099999999999999924e-07,7.522070436869235649e-06,1.099999999999999924e-07,6.014656499311005986e-06,1.099999999999999924e-07,4.848046652344330999e-06,1.099999999999999924e-07,3.918812773344374086e-06,1.099999999999999924e-07,3.186448907534993376e-06,1.099999999999999924e-07,2.622505552343430045e-06,1.099999999999999924e-07,2.179603947804248340e-06,1.099999999999999924e-07,1.828305288058817384e-06,1.099999999999999924e-07,1.551851095052119278e-06,1.099999999999999924e-07,1.336311810270564221e-06,1.099999999999999924e-07,1.167259072132083360e-06,1.099999999999999924e-07,1.031538301193743873e-06,1.099999999999999924e-07,9.205781782626896498e-07,1.099999999999999924e-07,8.272793837575456821e-07,1.099999999999999924e-07,7.468795758323485940e-07,1.099999999999999924e-07,6.783557551590006318e-07,1.099999999999999924e-07,6.199910637012393861e-07,1.099999999999999924e-07,5.686006435925540206e-07,1.099999999999999924e-07,5.212767846901889685e-07,1.099999999999999924e-07,4.766987506009637274e-07,1.099999999999999924e-07,4.338800537837476731e-07,1.099999999999999924e-07,3.921465229639335631e-07,1.099999999999999924e-07,3.512957279381027933e-07,0.000000000000000000e+00,0.000000000000000000e+00
1.899999999999999808e-07,7.535032431302262235e-04,1.899999999999999808e-07,5.831452072049362343e-04,1.899999999999999808e-07,4.581990582824115119e-04,1.899999999999999808e-07,3.593201639491045590e-04,1.899999999999999808e-07,2.853456272265292326e-04,1.899999999999999808e-07,2.294410594490736081e-04,1.899999999999999808e-07,1.832106504944953755e-04,1.899999999999999808e-07,1.438015597351697682e-04,1.899999999999999808e-07,1.113161281027388823e-04,1.899999999999999808e-07,8.699510742309043206e-05,1.899999999999999808e-07,7.015763483818263232e-05,1.899999999999999808e-07,5.767374164069213183e-05,1.899999999999999808e-07,4.500870454598380311e-05,1.899999999999999808e-07,3.372600145595548216e-05,1.899999999999999808e-07,2.633864409466300888e-05,1.899999999999999808e-07,2.107613388417282457e-05,1.899999999999999808e-07,1.681007973742905509e-05,1.899999999999999808e-07,1.344821413760793183e-05,1.899999999999999808e-07,1.085400988841316917e-05,1.899999999999999808e-07,8.848749111836798711e-06,1.899999999999999808e-07,7.255810150789948672e-06,1.899999999999999808e-07,6.004722179285337833e-06,1.899999999999999808e-07,5.044107235086370894e-06,1.899999999999999808e-07,4.292963801855911228e-06,1.899999999999999808e-07,3.700779737902970448e-06,1.899999999999999808e-07,3.237101687423466261e-06,1.899999999999999808e-07,2.875333471876407835e-06,1.899999999999999808e-07,2.588769661006437927e-06,1.899999999999999808e-07,2.354709688429667706e-06,1.899999999999999808e-07,2.157524466671229684e-06,1.899999999999999808e-07,1.985693074498888399e-06,1.899999999999999808e-07,1.836028778750595782e-06,1.899999999999999808e-07,1.707449360212769661e-06,1.899999999999999808e-07,1.594231059535115214e-06,1.899999999999999808e-07,1.488077809233689893e-06,1.899999999999999808e-07,1.383392759738054381e-06,1.899999999999999808e-07,1.279469630097595073e-06,1.899999999999999808e-07,1.175263805304297105e-06,1.899999999999999808e-07,1.070067381049055994e-06,1.899999999999999808e-07,9.642514156723079104e-07,0.000000000000000000e+00,0.000000000000000000e+00
1.999999999999999909e-07,7.932112867479975717e-04,1.999999999999999909e-07,6.138879157866293903e-04,1.999999999999999909e-07,4.823660425688313497e-04,1.999999999999999909e-07,3.782834554112614735e-04,1.999999999999999909e-07,3.004155978251996117e-04,1.999999999999999909e-07,2.415683798900371542e-04,1.999999999999999909e-07,1.929047270451926402e-04,1.999999999999999909e-07,1.514219943144021619e-04,1.999999999999999909e-07,1.172278060371828210e-04,1.999999999999999909e-07,9.162747785477076288e-05,1.999999999999999909e-07,7.390362273462070626e-05,1.999999999999999909e-07,6.076188418555839780e-05,1.999999999999999909e-07,4.743131504270489609e-05,1.999999999999999909e-07,3.555738366249720377e-05,1.999999999999999909e-07,2.778261683839423546e-05,1.999999999999999909e-07,2.224391775728951385e-05,1.999999999999999909e-07,1.775451980018851803e-05,1.999999999999999909e-07,1.421714926179800973e-05,1.999999999999999909e-07,1.148792164972468901e-05,1.999999999999999909e-07,9.378694241689972981e-06,1.999999999999999909e-07,7.703824944804008439e-06,1.999999999999999909e-07,6.389047673381139179e-06,1.999999999999999909e-07,5.379942168959787870e-06,1.999999999999999909e-07,4.591336194615924443e-06,1.999999999999999909e-07,3.970077575239649314e-06,1.999999999999999909e-07,3.483874254782504072e-06,1.999999999999999909e-07,3.104372952696138698e-06,1.999999999999999909e-07,2.803237312201094029e-06,1.999999999999999909e-07,2.556605684825072859e-06,1.999999999999999909e-07,2.347958140582387236e-06,1.999999999999999909e-07,2.165301733776151622e-06,1.999999999999999909e-07,2.005949286548798142e-06,1.999999999999999909e-07,1.868871964804527943e-06,1.999999999999999909e-07,1.747725685602353622e-06,1.999999999999999909e-07,1.633442589871894756e-06,1.999999999999999909e-07,1.520054412729356856e-06,1.999999999999999909e-07,1.407004145142032325e-06,1.999999999999999909e-07,1.293261822497353573e-06,1.999999999999999909e-07,1.178128250396360154e-06,1.999999999999999909e-07,1.062078120924409408e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.099999999999999746e-07,8.329243325198492981e-04,2.099999999999999746e-07,6.446357157164015741e-04,2.099999999999999746e-07,5.065381587625964474e-04,2.099999999999999746e-07,3.972519269359086128e-04,2.099999999999999746e-07,3.154907585769220653e-04,2.099999999999999746e-07,2.537008627794591371e-04,2.099999999999999746e-07,2.026039632405729550e-04,2.099999999999999746e-07,1.590476460381978156e-04,2.099999999999999746e-07,1.231448093549251737e-04,2.099999999999999746e-07,9.626525795763845911e-05,2.099999999999999746e-07,7.765500940054674832e-05,2.099999999999999746e-07,6.385535417278332293e-05,2.099999999999999746e-07,4.985937603836649294e-05,2.099999999999999746e-07,3.739450863394797671e-05,2.099999999999999746e-07,2.923250500565452301e-05,2.099999999999999746e-07,2.341772917319644569e-05,2.099999999999999746e-07,1.870514856207555242e-05,2.099999999999999746e-07,1.499246746147962356e-05,2.099999999999999746e-07,1.212842417389950930e-05,2.099999999999999746e-07,9.915447001290326153e-06,2.099999999999999746e-07,8.158901904253506009e-06,2.099999999999999746e-07,6.780713530320510379e-06,2.099999999999999746e-07,5.723375595429762287e-06,2.099999999999999746e-07,4.897550109752358053e-06,2.099999999999999746e-07,4.247441080660644329e-06,2.099999999999999746e-07,3.738887829955357983e-06,2.099999999999999746e-07,3.341742996483213053e-06,2.099999999999999746e-07,3.026022836898611065e-06,2.099999999999999746e-07,2.766717071590494941e-06,2.099999999999999746e-07,2.546418254746655546e-06,2.099999999999999746e-07,2.352682144700972243e-06,2.099999999999999746e-07,2.183387502469784282e-06,2.099999999999999746e-07,2.037574271089407433e-06,2.099999999999999746e-07,1.908253181274461442e-06,2.099999999999999746e-07,1.785553305888815199e-06,2.099999999999999746e-07,1.663123560592036566e-06,2.099999999999999746e-07,1.540569710330077666e-06,2.099999999999999746e-07,1.416880000514481478e-06,2.099999999999999746e-07,1.291366324795056314e-06,2.099999999999999746e-07,1.164614082219982591e-06,0.000000000000000000e+00,0.000000000000000000e+00
5.899999999999999627e-07,2.345732769380697719e-03,5.899999999999999627e-07,1.816832945140666681e-03,5.899999999999999627e-07,1.428891810112746475e-03,5.899999999999999627e-07,1.121905841538161719e-03,5.899999999999999627e-07,8.922098344476489269e-04,5.899999999999999627e-07,7.185814555372363336e-04,5.899999999999999627e-07,5.750241352035517393e-04,5.899999999999999627e-07,4.527216735300924346e-04,5.899999999999999627e-07,3.519812322023557760e-04,5.899999999999999627e-07,2.765666801362926170e-04,5.899999999999999627e-07,2.242774510183313190e-04,5.899999999999999627e-07,1.854352155633585747e-04,5.899999999999999627e-07,1.462683118415215617e-04,5.899999999999999627e-07,1.116050416661897309e-04,5.899999999999999627e-07,8.889500053877618562e-05,5.899999999999999627e-07,7.271007770727167484e-05,5.899999999999999627e-07,5.968063993141639470e-05,5.899999999999999627e-07,4.949846077219770604e-05,5.899999999999999627e-07,4.171158575933238362e-05,5.899999999999999627e-07,3.575609340155898991e-05,5.899999999999999627e-07,3.111366913418188592e-05,5.899999999999999627e-07,2.754314563512380343e-05,5.899999999999999627e-07,2.483058074421411589e-05,5.899999999999999627e-07,2.273123818071724140e-05,5.899999999999999627e-07,2.108775378375857951e-05,5.899999999999999627e-07,1.978037809733925874e-05,5.899999999999999627e-07,1.869714301975828209e-05,5.899999999999999627e-07,1.774628224971337720e-05,5.899999999999999627e-07,1.687475393235649833e-05,5.899999999999999627e-07,1.603603217203923678e-05,5.899999999999999627e-07,1.521290851782151348e-05,5.899999999999999627e-07,1.446910556539253439e-05,5.899999999999999627e-07,1.381561390744454583e-05,5.899999999999999627e-07,1.319883789248419746e-05,5.899999999999999627e-07,1.255066223403437426e-05,5.899999999999999627e-07,1.183930391752448619e-05,5.899999999999999627e-07,1.108028934340026501e-05,5.899999999999999627e-07,1.027629863897337099e-05,5.899999999999999627e-07,9.429315976307289167e-06,5.899999999999999627e-07,8.549776760267367907e-06,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999728e-07,2.385641380531753220e-03,5.999999999999999728e-07,1.847779949972741444e-03,5.999999999999999728e-07,1.453264898144010454e-03,5.999999999999999728e-07,1.141077405321405235e-03,5.999999999999999728e-07,9.074887559047385656e-04,5.999999999999999728e-07,7.309169177956228872e-04,5.999999999999999728e-07,5.849266366104047352e-04,5.999999999999999728e-07,4.605534180477493513e-04,5.999999999999999728e-07,3.581093976799511538e-04,5.999999999999999728e-07,2.814199268319912380e-04,5.999999999999999728e-07,2.282448168448320415e-04,5.999999999999999728e-07,1.887427440412189255e-04,5.999999999999999728e-07,1.489170418854762453e-04,5.999999999999999728e-07,1.136773504848069782e-04,5.999999999999999728e-07,9.058976662193421079e-05,5.999999999999999728e-07,7.413595859927601494e-05,5.999999999999999728e-07,6.089290878834788522e-05,5.999999999999999728e-07,5.054646288242077492e-05,5.999999999999999728e-07,4.263606404384586579e-05,5.999999999999999728e-07,3.658781150827174130e-05,5.999999999999999728e-07,3.187525645219178730e-05,5.999999999999999728e-07,2.825231808120392694e-05,5.999999999999999728e-07,2.549988498836115597e-05,5.999999999999999728e-07,2.336931111605370539e-05,5.999999999999999728e-07,2.170071069773292551e-05,5.999999999999999728e-07,2.037198665583410672e-05,5.999999999999999728e-07,1.926895103737199212e-05,5.999999999999999728e-07,1.829836530492219307e-05,5.999999999999999728e-07,1.740681800374528493e-05,5.999999999999999728e-07,1.654703152624456927e-05,5.999999999999999728e-07,1.570187017110507091e-05,5.999999999999999728e-07,1.493786957401814992e-05,5.999999999999999728e-07,1.426652666100198349e-05,5.999999999999999728e-07,1.363238715363779675e-05,5.999999999999999728e-07,1.296504924142284622e-05,5.999999999999999728e-07,1.223177957475582545e-05,5.999999999999999728e-07,1.144879325130933617e-05,5.999999999999999728e-07,1.061895571568549770e-05,5.999999999999999728e-07,9.744386324019112643e-06,5.999999999999999728e-07,8.835931274903146464e-06,0.000000000000000000e+00,0.000000000000000000e+00
6.099999999999999830e-07,2.425555018490148460e-03,6.099999999999999830e-07,1.878732079035953925e-03,6.099999999999999830e-07,1.477643160422217015e-03,6.099999999999999830e-07,1.160254203873854100e-03,6.099999999999999830e-07,9.227729362287252768e-04,6.099999999999999830e-07,7.432576264309577680e-04,6.099999999999999830e-07,5.948344016514788175e-04,6.099999999999999830e-07,4.683905133260179835e-04,6.099999999999999830e-07,3.642430649406604225e-04,6.099999999999999830e-07,2.862788106435021395e-04,6.099999999999999830e-07,2.322178556123646528e-04,6.099999999999999830e-07,1.920559166968646063e-04,6.099999999999999830e-07,1.515716281782088616e-04,6.099999999999999830e-07,1.157559587681964325e-04,6.099999999999999830e-07,9.229114472039411695e-05,6.099999999999999830e-07,7.556869281927560149e-05,6.099999999999999830e-07,6.211233727655046980e-05,6.099999999999999830e-07,5.160196346513653903e-05,6.099999999999999830e-07,4.356836927410807762e-05,6.099999999999999830e-07,3.742765184722907275e-05,6.099999999999999830e-07,3.264524408367007458e-05,6.099999999999999830e-07,2.897011712723387153e-05,6.099999999999999830e-07,2.617794192818306855e-05,6.099999999999999830e-07,2.401618146741981783e-05,6.099999999999999830e-07,2.232244809066982486e-05,6.099999999999999830e-07,2.097230510386735699e-05,6.099999999999999830e-07,1.984934806239494512e-05,6.099999999999999830e-07,1.885887115185160527e-05,6.099999999999999830e-07,1.794710454318998837e-05,6.099999999999999830e-07,1.706601279859670147e-05,6.099999999999999830e-07,1.619853885432491646e-05,6.099999999999999830e-07,1.541408535628927210e-05,6.099999999999999830e-07,1.472466461372665949e-05,6.099999999999999830e-07,1.407293112025981697e-05,6.099999999999999830e-07,1.338615838422905684e-05,6.099999999999999830e-07,1.263064888226452744e-05,6.099999999999999830e-07,1.182332057241953503e-05,6.099999999999999830e-07,1.096722887652464960e-05,6.099999999999999830e-07,1.006463171949423412e-05,6.099999999999999830e-07,9.126793891009879351e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.999999999999999909e-06,8.022740422057727736e-03,1.999999999999999909e-06,6.231307545535830217e-03,1.999999999999999909e-06,4.917042553105048681e-03,1.999999999999999909e-06,3.877374790119383820e-03,1.999999999999999909e-06,3.099206000875483896e-03,1.999999999999999909e-06,2.510589263251486718e-03,1.999999999999999909e-06,2.024365904430234456e-03,1.999999999999999909e-06,1.611252055378763507e-03,1.999999999999999909e-06,1.272225235462247014e-03,1.999999999999999909e-06,1.018870677900828633e-03,1.999999999999999909e-06,8.424458651528670327e-04,1.999999999999999909e-06,7.106384304098999766e-04,1.999999999999999909e-06,5.813817465407692623e-04,1.999999999999999909e-06,4.708675636107637215e-04,1.999999999999999909e-06,3.987586032603270881e-04,1.999999999999999909e-06,3.475046494827588599e-04,1.999999999999999909e-06,3.076300793066926494e-04,1.999999999999999909e-06,2.775115328909436995e-04,1.999999999999999909e-06,2.549801718431689550e-04,1.999999999999999909e-06,2.378813233748594774e-04,1.999999999999999909e-06,2.248037120756788397e-04,1.999999999999999909e-06,2.146913364953915635e-04,1.999999999999999909e-06,2.064262359314826621e-04,1.999999999999999909e-06,1.995502055123539594e-04,1.999999999999999909e-06,1.937893064225039994e-04,1.999999999999999909e-06,1.887021866921173422e-04,1.999999999999999909e-06,1.837383030630714053e-04,1.999999999999999909e-06,1.785039048633969610e-04,1.999999999999999909e-06,1.729385600891783276e-04,1.999999999999999909e-06,1.668173843681244721e-04,1.999999999999999909e-06,1.602044002471908859e-04,1.999999999999999909e-06,1.541073517087118846e-04,1.999999999999999909e-06,1.487055332434160642e-04,1.999999999999999909e-06,1.433667682649231374e-04,1.999999999999999909e-06,1.373266691139523211e-04,1.999999999999999909e-06,1.302836946606352744e-04,1.999999999999999909e-06,1.224904279890186027e-04,1.999999999999999909e-06,1.140216967049493998e-04,1.999999999999999909e-06,1.049319564161764289e-04,1.999999999999999909e-06,9.536652484055782228e-05,0.000000000000000000e+00,0.000000000000000000e+00
