# P=500,vT,P=666,vT,P=833,vT,P=1000,vT,P=1166,vT,P=1333,vT,P=1500,vT,P=1666,vT,P=1833,vT,P=2000,vT,
9.999999999999999547e-07,1.526732098249080182e-05,9.999999999999999547e-07,1.478742975237161750e-05,9.999999999999999547e-07,1.440804501574046040e-05,9.999999999999999547e-07,1.409304098058764224e-05,9.999999999999999547e-07,1.382293913610622039e-05,9.999999999999999547e-07,1.358600695832177687e-05,9.999999999999999547e-07,1.337461633391660112e-05,9.999999999999999547e-07,1.318352212766365579e-05,9.999999999999999547e-07,1.300895921160667024e-05,9.999999999999999547e-07,1.284813122049671963e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.499499499499499335e-06,2.289316687943648737e-05,1.499499499499499335e-06,2.217355896113519607e-05,1.499499499499499335e-06,2.160466309657566305e-05,1.499499499499499335e-06,2.113230778014171533e-05,1.499499499499499335e-06,2.072728449552007138e-05,1.499499499499499335e-06,2.037200001911801213e-05,1.499499499499499335e-06,2.005501579505982346e-05,1.499499499499499335e-06,1.976846660299909177e-05,1.499499499499499335e-06,1.950670653150317316e-05,1.499499499499499335e-06,1.926554235545004643e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.998998998998998928e-06,3.051889732938367806e-05,1.998998998998998928e-06,2.955956522293500083e-05,1.998998998998998928e-06,2.880115247343168137e-05,1.998998998998998928e-06,2.817144126416034835e-05,1.998998998998998928e-06,2.763149273922041796e-05,1.998998998998998928e-06,2.715785277058300773e-05,1.998998998998998928e-06,2.673527222364971006e-05,1.998998998998998928e-06,2.635326569731642963e-05,1.998998998998998928e-06,2.600430642849037725e-05,1.998998998998998928e-06,2.568280427898231389e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.498498498498498520e-06,3.814451233522470004e-05,2.498498498498498520e-06,3.694544854208535006e-05,2.498498498498498520e-06,3.599751315074561106e-05,2.498498498498498520e-06,3.521044143722156465e-05,2.498498498498498520e-06,3.453556387255125198e-05,2.498498498498498520e-06,3.394356521876000325e-05,2.498498498498498520e-06,3.341538562526842995e-05,2.498498498498498520e-06,3.293791941658746002e-05,2.498498498498498520e-06,3.250175890814663141e-05,2.498498498498498520e-06,3.209991699803255313e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.997997997997998113e-06,4.577001190119400314e-05,2.997997997997998113e-06,4.433120892132411513e-05,2.997997997997998113e-06,4.319374513295452242e-05,2.997997997997998113e-06,4.224930830456352101e-05,2.997997997997998113e-06,4.143949790085647719e-05,2.997997997997998113e-06,4.072913736852618391e-05,2.997997997997998113e-06,4.009535600605230315e-05,2.997997997997998113e-06,3.952242776704878490e-05,2.997997997997998113e-06,3.899906397732191821e-05,2.997997997997998113e-06,3.851688051904937843e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.497497497497497705e-06,5.339539602973643616e-05,3.497497497497497705e-06,5.171684636535960999e-05,3.497497497497497705e-06,5.038984842413800732e-05,3.497497497497497705e-06,4.928804186977379497e-05,3.497497497497497705e-06,4.834329482886234094e-05,3.497497497497497705e-06,4.751456922563310670e-05,3.497497497497497705e-06,4.677518337158327003e-05,3.497497497497497705e-06,4.610679075440707190e-05,3.497497497497497705e-06,4.549622164184870661e-05,3.497497497497497705e-06,4.493369484799104657e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.996996996996996450e-06,6.102066472419162639e-05,3.996996996996996450e-06,5.910236087771781596e-05,3.996996996996996450e-06,5.758582302873302763e-05,3.996996996996996450e-06,5.632664213875060899e-05,3.996996996996996450e-06,5.524695466160383744e-05,3.996996996996996450e-06,5.429986079554077310e-05,3.996996996996996450e-06,5.345486772716615562e-05,3.996996996996996450e-06,5.269100838516361737e-05,3.996996996996996450e-06,5.199323190832244238e-05,3.996996996996996450e-06,5.135035999204133882e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.496496496496496043e-06,6.864581798834645484e-05,4.496496496496496043e-06,6.648775246271282770e-05,4.496496496496496043e-06,6.478166895117639615e-05,4.496496496496496043e-06,6.336510911574157580e-05,4.496496496496496043e-06,6.215047740442459264e-05,4.496496496496496043e-06,6.108501208341756133e-05,4.496496496496496043e-06,6.013440907921400222e-05,4.496496496496496043e-06,5.927508066502484841e-05,4.496496496496496043e-06,5.849009478282968743e-05,4.496496496496496043e-06,5.776687595740338918e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.995995995995995635e-06,7.627085582509307148e-05,4.995995995995995635e-06,7.387302112308231667e-05,4.995995995995995635e-06,7.197738619554755230e-05,4.995995995995995635e-06,7.040344280532441382e-05,4.995995995995995635e-06,6.905386306266821214e-05,4.995995995995995635e-06,6.787002309501477765e-05,4.995995995995995635e-06,6.681380743303144513e-05,4.995995995995995635e-06,6.585900759996206268e-05,4.995995995995995635e-06,6.498681027171127620e-05,4.995995995995995635e-06,6.418324275077045876e-05,0.000000000000000000e+00,0.000000000000000000e+00
5.495495495495495228e-06,8.389577823777094774e-05,5.495495495495495228e-06,8.125816686392847731e-05,5.495495495495495228e-06,7.917297476628324109e-05,5.495495495495495228e-06,7.744164321273684952e-05,5.495495495495495228e-06,7.595711164075181013e-05,5.495495495495495228e-06,7.465489383550063087e-05,5.495495495495495228e-06,7.349306279447710634e-05,5.495495495495495228e-06,7.244278919594640878e-05,5.495495495495495228e-06,7.148337838130792792e-05,5.495495495495495228e-06,7.059946037810034016e-05,0.000000000000000000e+00,0.000000000000000000e+00
