# P=8000,vT,P=8100,vT,P=8200,vT,P=8300,vT,P=8400,vT,P=8500,vT,P=8600,vT,P=8700,vT,P=8800,vT,P=8900,vT,P=9000,vT,P=9100,vT,P=9200,vT,P=9300,vT,P=9400,vT,P=9500,vT,P=9600,vT,P=9700,vT,P=9800,vT,P=9900,vT,P=10000,vT,P=10100,vT,P=10200,vT,P=10300,vT,P=10400,vT,P=10500,vT,P=10600,vT,P=10700,vT,P=10800,vT,P=10900,vT,P=11000,vT,P=11100,vT,P=11200,vT,P=11300,vT,P=11400,vT,P=11500,vT,P=11600,vT,P=11700,vT,P=11800,vT,P=11900,vT,P=100,vT,
9.999999999999999547e-07,7.224396455800110662e-04,9.999999999999999547e-07,7.216428485639887020e-04,9.999999999999999547e-07,7.208578979450085914e-04,9.999999999999999547e-07,7.200844822730881768e-04,9.999999999999999547e-07,7.193223018219976200e-04,9.999999999999999547e-07,7.185710680175105575e-04,9.999999999999999547e-07,7.178305028997154997e-04,9.999999999999999547e-07,7.171003386164651917e-04,9.999999999999999547e-07,7.163803169472637584e-04,9.999999999999999547e-07,7.156701888538463631e-04,9.999999999999999547e-07,7.149697140570646483e-04,9.999999999999999547e-07,7.142786603542370522e-04,9.999999999999999547e-07,7.135968025522108210e-04,9.999999999999999547e-07,7.129239229565236717e-04,9.999999999999999547e-07,7.122598112619553173e-04,9.999999999999999547e-07,7.116042642272750549e-04,9.999999999999999547e-07,7.109570853671247359e-04,9.999999999999999547e-07,7.103180846609328169e-04,9.999999999999999547e-07,7.096870782766208320e-04,9.999999999999999547e-07,7.090638883093656379e-04,9.999999999999999547e-07,7.084483425331974211e-04,9.999999999999999547e-07,7.078402741660167656e-04,9.999999999999999547e-07,7.072395216461627035e-04,9.999999999999999547e-07,7.066459284200136059e-04,9.999999999999999547e-07,7.060593427409622225e-04,9.999999999999999547e-07,7.054796174771822996e-04,9.999999999999999547e-07,7.049066099298902750e-04,9.999999999999999547e-07,7.043401816597229855e-04,9.999999999999999547e-07,7.037801983214715370e-04,9.999999999999999547e-07,7.032265295070581467e-04,9.999999999999999547e-07,7.026790485956224252e-04,9.999999999999999547e-07,7.021376326105995686e-04,9.999999999999999547e-07,7.016021620834559866e-04,9.999999999999999547e-07,7.010725209238074119e-04,9.999999999999999547e-07,7.005485962951592477e-04,9.999999999999999547e-07,7.000302784966388678e-04,9.999999999999999547e-07,6.995174608495851416e-04,9.999999999999999547e-07,6.990100395893418051e-04,9.999999999999999547e-07,6.985079138427918157e-04,9.999999999999999547e-07,6.980109857940837263e-04,9.999999999999999547e-07,1.020874691621032754e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.499499499499499335e-06,1.080550774283293731e-03,1.499499499499499335e-06,1.079348044700358372e-03,1.499499499499499335e-06,1.078163136422870434e-03,1.499499499499499335e-06,1.076995581269487049e-03,1.499499499499499335e-06,1.075844928676462616e-03,1.499499499499499335e-06,1.074710744838496424e-03,1.499499499499499335e-06,1.073592611900487260e-03,1.499499499499499335e-06,1.072490127197149676e-03,1.499499499499499335e-06,1.071402902537239334e-03,1.499499499499499335e-06,1.070330563528400138e-03,1.499499499499499335e-06,1.069272748941380502e-03,1.499499499499499335e-06,1.068229109688835889e-03,1.499499499499499335e-06,1.067199307232404026e-03,1.499499499499499335e-06,1.066183014305238479e-03,1.499499499499499335e-06,1.065179914744070503e-03,1.499499499499499335e-06,1.064189703000665383e-03,1.499499499499499335e-06,1.063212083679084723e-03,1.499499499499499335e-06,1.062246771098148855e-03,1.499499499499499335e-06,1.061293488876656217e-03,1.499499499499499335e-06,1.060351969540274846e-03,1.499499499499499335e-06,1.059421954149226920e-03,1.499499499499499335e-06,1.058503191944676217e-03,1.499499499499499335e-06,1.057595440012867871e-03,1.499499499499499335e-06,1.056698462966993964e-03,1.499499499499499335e-06,1.055812032643781064e-03,1.499499499499499335e-06,1.054935927816059993e-03,1.499499499499499335e-06,1.054069933918664118e-03,1.499499499499499335e-06,1.053213842787908798e-03,1.499499499499499335e-06,1.052367452413611364e-03,1.499499499499499335e-06,1.051530566702774290e-03,1.499499499499499335e-06,1.050702995254400524e-03,1.499499499499499335e-06,1.049884553144731902e-03,1.499499499499499335e-06,1.049075060722850800e-03,1.499499499499499335e-06,1.048274343414970153e-03,1.499499499499499335e-06,1.047482231538193320e-03,1.499499499499499335e-06,1.046698560122438218e-03,1.499499499499499335e-06,1.045923168740263767e-03,1.499499499499499335e-06,1.045155901344469850e-03,1.499499499499499335e-06,1.044396606232369162e-03,1.499499499499499335e-06,1.043645136291424923e-03,1.499499499499499335e-06,1.529842140510809809e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.998998998998998928e-06,1.436854811452024493e-03,1.998998998998998928e-06,1.435241022989184635e-03,1.998998998998998928e-06,1.433651068513825452e-03,1.998998998998998928e-06,1.432084322350703123e-03,1.998998998998998928e-06,1.430540182360968667e-03,1.998998998998998928e-06,1.429018068793925633e-03,1.998998998998998928e-06,1.427517423207886596e-03,1.998998998998998928e-06,1.426037707454461123e-03,1.998998998998998928e-06,1.424578402722180602e-03,1.998998998998998928e-06,1.423139008635280556e-03,1.998998998998998928e-06,1.421719042403825784e-03,1.998998998998998928e-06,1.420318037465788776e-03,1.998998998998998928e-06,1.418935541372408999e-03,1.998998998998998928e-06,1.417571116737048262e-03,1.998998998998998928e-06,1.416224341006958563e-03,1.998998998998998928e-06,1.414894805809787043e-03,1.998998998998998928e-06,1.413582116336367439e-03,1.998998998998998928e-06,1.412285890755954560e-03,1.998998998998998928e-06,1.411005759662180498e-03,1.998998998998998928e-06,1.409741365548625386e-03,1.998998998998998928e-06,1.408492362310726029e-03,1.998998998998998928e-06,1.407258414773800799e-03,1.998998998998998928e-06,1.406039198244907239e-03,1.998998998998998928e-06,1.404834398086956182e-03,1.998998998998998928e-06,1.403643709314483659e-03,1.998998998998998928e-06,1.402466836208907022e-03,1.998998998998998928e-06,1.401303491952942586e-03,1.998998998998998928e-06,1.400153398282321304e-03,1.998998998998998928e-06,1.399016285154793112e-03,1.998998998998998928e-06,1.397891890434168087e-03,1.998998998998998928e-06,1.396779959589670213e-03,1.998998998998998928e-06,1.395680245409315970e-03,1.998998998998998928e-06,1.394592507726262346e-03,1.998998998998998928e-06,1.393516513158235548e-03,1.998998998998998928e-06,1.392452034857871983e-03,1.998998998998998928e-06,1.391398852275464466e-03,1.998998998998998928e-06,1.390356750931361291e-03,1.998998998998998928e-06,1.389325522198866679e-03,1.998998998998998928e-06,1.388304963255417848e-03,1.998998998998998928e-06,1.387294877404378823e-03,1.998998998998998928e-06,2.038172716519532062e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.498498498498498520e-06,1.791368764943446906e-03,2.498498498498498520e-06,1.789338906971883573e-03,2.498498498498498520e-06,1.787338932974031659e-03,2.498498498498498520e-06,1.785368059027507125e-03,2.498498498498498520e-06,1.783425530688858033e-03,2.498498498498498520e-06,1.781510621556097428e-03,2.498498498498498520e-06,1.779622631917589020e-03,2.498498498498498520e-06,1.777760887479402875e-03,2.498498498498498520e-06,1.775924738168197696e-03,2.498498498498498520e-06,1.774113557002578298e-03,2.498498498498498520e-06,1.772326739028689006e-03,2.498498498498498520e-06,1.770563699626249250e-03,2.498498498498498520e-06,1.768823871877683862e-03,2.498498498498498520e-06,1.767106707735932852e-03,2.498498498498498520e-06,1.765411677732738570e-03,2.498498498498498520e-06,1.763738270160944768e-03,2.498498498498498520e-06,1.762085990301159692e-03,2.498498498498498520e-06,1.760454359689805990e-03,2.498498498498498520e-06,1.758842915425440573e-03,2.498498498498498520e-06,1.757251209511552026e-03,2.498498498498498520e-06,1.755678808233414974e-03,2.498498498498498520e-06,1.754125291566880056e-03,2.498498498498498520e-06,1.752590252616896202e-03,2.498498498498498520e-06,1.751073297084829736e-03,2.498498498498498520e-06,1.749574042761523323e-03,2.498498498498498520e-06,1.748092119046075000e-03,2.498498498498498520e-06,1.746627166487626365e-03,2.498498498498498520e-06,1.745178836349632135e-03,2.498498498498498520e-06,1.743746790194777461e-03,2.498498498498498520e-06,1.742330699489797515e-03,2.498498498498498520e-06,1.740930245228742169e-03,2.498498498498498520e-06,1.739545117574148444e-03,2.498498498498498520e-06,1.738175015514170033e-03,2.498498498498498520e-06,1.736819646536091064e-03,2.498498498498498520e-06,1.735478726314373596e-03,2.498498498498498520e-06,1.734151978412632562e-03,2.498498498498498520e-06,1.732839133999079535e-03,2.498498498498498520e-06,1.731539931574704785e-03,2.498498498498498520e-06,1.730254116909704870e-03,2.498498498498498520e-06,1.728981443439711043e-03,2.498498498498498520e-06,2.545867911913785205e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.997997997997998113e-06,2.144109404795401571e-03,2.997997997997998113e-06,2.141658579810592176e-03,2.997997997997998113e-06,2.139243725622010268e-03,2.997997997997998113e-06,2.136863899314916937e-03,2.997997997997998113e-06,2.134518193420499848e-03,2.997997997997998113e-06,2.132205734188161086e-03,2.997997997997998113e-06,2.129925679960112915e-03,2.997997997997998113e-06,2.127677219642748561e-03,2.997997997997998113e-06,2.125459571266702895e-03,2.997997997997998113e-06,2.123271980629747036e-03,2.997997997997998113e-06,2.121113720017774994e-03,2.997997997997998113e-06,2.118984086175957834e-03,2.997997997997998113e-06,2.116882397165875760e-03,2.997997997997998113e-06,2.114807993745306761e-03,2.997997997997998113e-06,2.112760239011194502e-03,2.997997997997998113e-06,2.110738517416377129e-03,2.997997997997998113e-06,2.108742233840462006e-03,2.997997997997998113e-06,2.106770812709338192e-03,2.997997997997998113e-06,2.104823697161617522e-03,2.997997997997998113e-06,2.102900348258696615e-03,2.997997997997998113e-06,2.101000244235399269e-03,2.997997997997998113e-06,2.099122879789278463e-03,2.997997997997998113e-06,2.097267765405851862e-03,2.997997997997998113e-06,2.095434426717861752e-03,2.997997997997998113e-06,2.093622403896167224e-03,2.997997997997998113e-06,2.091831251071016567e-03,2.997997997997998113e-06,2.090060535781249149e-03,2.997997997997998113e-06,2.088309838450431478e-03,2.997997997997998113e-06,2.086578751887890448e-03,2.997997997997998113e-06,2.084866880813522703e-03,2.997997997997998113e-06,2.083173841404844899e-03,2.997997997997998113e-06,2.081499260865553660e-03,2.997997997997998113e-06,2.079842777013649752e-03,2.997997997997998113e-06,2.078204037888409586e-03,2.997997997997998113e-06,2.076582701375530565e-03,2.997997997997998113e-06,2.074978434848811365e-03,2.997997997997998113e-06,2.073390914828291721e-03,2.997997997997998113e-06,2.071819826652794745e-03,2.997997997997998113e-06,2.070264864401505714e-03,2.997997997997998113e-06,2.068725731362376467e-03,2.997997997997998113e-06,3.052929213746269181e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.497497497497497705e-06,2.495093267656705270e-03,3.497497497497497705e-06,2.492216688784698771e-03,3.497497497497497705e-06,2.489382203900180213e-03,3.497497497497497705e-06,2.486588710359838306e-03,3.497497497497497705e-06,2.483835146957318052e-03,3.497497497497497705e-06,2.481120491903487848e-03,3.497497497497497705e-06,2.478443760927217382e-03,3.497497497497497705e-06,2.475804005488088134e-03,3.497497497497497705e-06,2.473200311093739362e-03,3.497497497497497705e-06,2.470631795713744937e-03,3.497497497497497705e-06,2.468097608284242680e-03,3.497497497497497705e-06,2.465596926346339066e-03,3.497497497497497705e-06,2.463128952395064047e-03,3.497497497497497705e-06,2.460692915464932160e-03,3.497497497497497705e-06,2.458288070704410088e-03,3.497497497497497705e-06,2.455913698227714468e-03,3.497497497497497705e-06,2.453569102027727909e-03,3.497497497497497705e-06,2.451253608948127192e-03,3.497497497497497705e-06,2.448966567708488196e-03,3.497497497497497705e-06,2.446707347980968481e-03,3.497497497497497705e-06,2.444475339515015267e-03,3.497497497497497705e-06,2.442269951306365230e-03,3.497497497497497705e-06,2.440090610808358981e-03,3.497497497497497705e-06,2.437936763183230944e-03,3.497497497497497705e-06,2.435807870590050907e-03,3.497497497497497705e-06,2.433703411508458120e-03,3.497497497497497705e-06,2.431622880094714591e-03,3.497497497497497705e-06,2.429565785569409286e-03,3.497497497497497705e-06,2.427531651634211567e-03,3.497497497497497705e-06,2.425520015916651697e-03,3.497497497497497705e-06,2.423530429440610805e-03,3.497497497497497705e-06,2.421562456121822970e-03,3.497497497497497705e-06,2.419615672286420938e-03,3.497497497497497705e-06,2.417689666211966012e-03,3.497497497497497705e-06,2.415784037688852286e-03,3.497497497497497705e-06,2.413898397601625060e-03,3.497497497497497705e-06,2.412032367529111029e-03,3.497497497497497705e-06,2.410185579362264779e-03,3.497497497497497705e-06,2.408357675208935497e-03,3.497497497497497705e-06,2.406548307932352901e-03,3.497497497497497705e-06,3.559358103878706298e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.996996996996996450e-06,2.844336661115994674e-03,3.996996996996996450e-06,2.841029649682038759e-03,3.996996996996996450e-06,2.837770891329713038e-03,3.996996996996996450e-06,2.834559122959556549e-03,3.996996996996996450e-06,2.831393128923611127e-03,3.996996996996996450e-06,2.828271738712629518e-03,3.996996996996996450e-06,2.825193824782423497e-03,3.996996996996996450e-06,2.822158300506507657e-03,3.996996996996996450e-06,2.819164118250250609e-03,3.996996996996996450e-06,2.816210267554349316e-03,3.996996996996996450e-06,2.813295773423081601e-03,3.996996996996996450e-06,2.810419693630260632e-03,3.996996996996996450e-06,2.807581114565499848e-03,3.996996996996996450e-06,2.804779153017869509e-03,3.996996996996996450e-06,2.802012955680339545e-03,3.996996996996996450e-06,2.799281697834886482e-03,3.996996996996996450e-06,2.796584582108729670e-03,3.996996996996996450e-06,2.793920837296686062e-03,3.996996996996996450e-06,2.791289717245403010e-03,3.996996996996996450e-06,2.788690499796651467e-03,3.996996996996996450e-06,2.786122485784420320e-03,3.996996996996996450e-06,2.783584998084020785e-03,3.996996996996996450e-06,2.781077380709174110e-03,3.996996996996996450e-06,2.778598997954257604e-03,3.996996996996996450e-06,2.776149233579666784e-03,3.996996996996996450e-06,2.773727490037060112e-03,3.996996996996996450e-06,2.771333187732297546e-03,3.996996996996996450e-06,2.768965764324326020e-03,3.996996996996996450e-06,2.766624674057401555e-03,3.996996996996996450e-06,2.764309387125236332e-03,3.996996996996996450e-06,2.762019389064748406e-03,3.996996996996996450e-06,2.759754180178546675e-03,3.996996996996996450e-06,2.757513274983671749e-03,3.996996996996996450e-06,2.755296201685578355e-03,3.996996996996996450e-06,2.753102501676605966e-03,3.996996996996996450e-06,2.750931729056222807e-03,3.996996996996996450e-06,2.748783450172965180e-03,3.996996996996996450e-06,2.746657243187152278e-03,3.996996996996996450e-06,2.744552697958590158e-03,3.996996996996996450e-06,2.742469416652291644e-03,3.996996996996996450e-06,4.065156059006137107e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.496496496496496043e-06,3.191855667928531447e-03,4.496496496496496043e-06,3.188113651087898237e-03,4.496496496496496043e-06,3.184426081861464405e-03,4.496496496496496043e-06,3.180791535974351793e-03,4.496496496496496043e-06,3.177208642641215792e-03,4.496496496496496043e-06,3.173676081959850206e-03,4.496496496496496043e-06,3.170192582460366025e-03,4.496496496496496043e-06,3.166756918799066081e-03,4.496496496496496043e-06,3.163367909586726513e-03,4.496496496496496043e-06,3.160024415341918403e-03,4.496496496496496043e-06,3.156725336561516920e-03,4.496496496496496043e-06,3.153469610696151525e-03,4.496496496496496043e-06,3.150256207497144183e-03,4.496496496496496043e-06,3.147084130992321670e-03,4.496496496496496043e-06,3.143952418917788250e-03,4.496496496496496043e-06,3.140860141236282745e-03,4.496496496496496043e-06,3.137806398735454739e-03,4.496496496496496043e-06,3.134790321700393033e-03,4.496496496496496043e-06,3.131811068656809808e-03,4.496496496496496043e-06,3.128867825179545373e-03,4.496496496496496043e-06,3.125959802762644322e-03,4.496496496496496043e-06,3.123086237747455148e-03,4.496496496496496043e-06,3.120246390305155947e-03,4.496496496496496043e-06,3.117439543470169102e-03,4.496496496496496043e-06,3.114665002221703258e-03,4.496496496496496043e-06,3.111922092610782363e-03,4.496496496496496043e-06,3.109210160929557279e-03,4.496496496496496043e-06,3.106528572920856917e-03,4.496496496496496043e-06,3.103876713026000860e-03,4.496496496496496043e-06,3.101253983667505085e-03,4.496496496496496043e-06,3.098659804566437481e-03,4.496496496496496043e-06,3.096093612090977578e-03,4.496496496496496043e-06,3.093554858635201663e-03,4.496496496496496043e-06,3.091043012026587107e-03,4.496496496496496043e-06,3.088557554960035412e-03,4.496496496496496043e-06,3.086097984457616007e-03,4.496496496496496043e-06,3.083663811352155542e-03,4.496496496496496043e-06,3.081254559794218643e-03,4.496496496496496043e-06,3.078869767121997572e-03,4.496496496496496043e-06,3.076508984532318886e-03,4.496496496496496043e-06,4.570324550682965982e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.995995995995995635e-06,3.537666150146722820e-03,4.995995995995995635e-06,3.533484658574784481e-03,4.995995995995995635e-06,3.529363844124944194e-03,4.995995995995995635e-06,3.525302120636522596e-03,4.995995995995995635e-06,3.521297961499495963e-03,4.995995995995995635e-06,3.517349896752915758e-03,4.995995995995995635e-06,3.513456510357378191e-03,4.995995995995995635e-06,3.509616437627563219e-03,4.995995995995995635e-06,3.505828362815052203e-03,4.995995995995995635e-06,3.502091016830226593e-03,4.995995995995995635e-06,3.498403175093895302e-03,4.995995995995995635e-06,3.494763654184049068e-03,4.995995995995995635e-06,3.491171306687361215e-03,4.995995995995995635e-06,3.487625023360804450e-03,4.995995995995995635e-06,3.484123732488351652e-03,4.995995995995995635e-06,3.480666398232184957e-03,4.995995995995995635e-06,3.477252019072146760e-03,4.995995995995995635e-06,3.473879626328613569e-03,4.995995995995995635e-06,3.470548282763415062e-03,4.995995995995995635e-06,3.467257081253402942e-03,4.995995995995995635e-06,3.464005143533136800e-03,4.995995995995995635e-06,3.460791619001596028e-03,4.995995995995995635e-06,3.457615683589511640e-03,4.995995995995995635e-06,3.454476538683726259e-03,4.995995995995995635e-06,3.451373410104565092e-03,4.995995995995995635e-06,3.448305547134370395e-03,4.995995995995995635e-06,3.445272221592458450e-03,4.995995995995995635e-06,3.442272726955826825e-03,4.995995995995995635e-06,3.439306377521108606e-03,4.995995995995995635e-06,3.436372507606838111e-03,4.995995995995995635e-06,3.433470470792953765e-03,4.995995995995995635e-06,3.430599639195892718e-03,4.995995995995995635e-06,3.427759402777216368e-03,4.995995995995995635e-06,3.424949168683682522e-03,4.995995995995995635e-06,3.422168360617441462e-03,4.995995995995995635e-06,3.419416418234425600e-03,4.995995995995995635e-06,3.416692796569829448e-03,4.995995995995995635e-06,3.413996965488669353e-03,4.995995995995995635e-06,3.411328409537605581e-03,4.995995995995995635e-06,3.408686628678605016e-03,4.995995995995995635e-06,5.074865045343200133e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.495495495495495228e-06,3.881783753154964371e-03,5.495495495495495228e-06,3.877158418795149507e-03,5.495495495495495228e-06,3.872600025579647689e-03,5.495495495495495228e-06,3.868106824760152596e-03,5.495495495495495228e-06,3.863677133222447220e-03,5.495495495495495228e-06,3.859309330289690566e-03,5.495495495495495228e-06,3.855001854716222972e-03,5.495495495495495228e-06,3.850753201858759470e-03,5.495495495495495228e-06,3.846561921012167217e-03,5.495495495495495228e-06,3.842426612899306742e-03,5.495495495495495228e-06,3.838345927303498696e-03,5.495495495495495228e-06,3.834318559387052926e-03,5.495495495495495228e-06,3.830343244052314324e-03,5.495495495495495228e-06,3.826418758281548930e-03,5.495495495495495228e-06,3.822543920417607877e-03,5.495495495495495228e-06,3.818717588346293677e-03,5.495495495495495228e-06,3.814938657777520743e-03,5.495495495495495228e-06,3.811206060617152065e-03,5.495495495495495228e-06,3.807518763425545190e-03,5.495495495495495228e-06,3.803875765956015592e-03,5.495495495495495228e-06,3.800276099769000354e-03,5.495495495495495228e-06,3.796718826917770944e-03,5.495495495495495228e-06,3.793203038699558081e-03,5.495495495495495228e-06,3.789727854470744273e-03,5.495495495495495228e-06,3.786292420519785356e-03,5.495495495495495228e-06,3.782895908996458927e-03,5.495495495495495228e-06,3.779537516893135846e-03,5.495495495495495228e-06,3.776216465074921490e-03,5.495495495495495228e-06,3.772931997356795877e-03,5.495495495495495228e-06,3.769683379624062889e-03,5.495495495495495228e-06,3.766469898994649276e-03,5.495495495495495228e-06,3.763290863020022498e-03,5.495495495495495228e-06,3.760145598923052973e-03,5.495495495495495228e-06,3.757033452871132422e-03,5.495495495495495228e-06,3.753953789281842118e-03,5.495495495495495228e-06,3.750905990160026144e-03,5.495495495495495228e-06,3.747889454464581327e-03,5.495495495495495228e-06,3.744903597502893464e-03,5.495495495495495228e-06,3.741947850763236577e-03,5.495495495495495228e-06,3.739021662709422853e-03,5.495495495495495228e-06,5.578779004328550395e-03,0.000000000000000000e+00,0.000000000000000000e+00
