# P=400,vT,P=500,vT,P=600,vT,P=700,vT,P=800,vT,P=900,vT,P=1000,vT,
2.000000000000000096e-04,1.419462441519241613e+00,2.000000000000000096e-04,1.357631248366050869e+00,2.000000000000000096e-04,1.307783002821559792e+00,2.000000000000000096e-04,1.266294731118043249e+00,2.000000000000000096e-04,1.230923687971762437e+00,2.000000000000000096e-04,1.200157972314201738e+00,2.000000000000000096e-04,1.172941669469840020e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.048048048048048029e-04,1.467587434972702276e+00,2.048048048048048029e-04,1.402776523235864881e+00,2.048048048048048029e-04,1.350677181662635506e+00,2.048048048048048029e-04,1.307413338260892344e+00,2.048048048048048029e-04,1.270603803032343215e+00,2.048048048048048029e-04,1.238634620350843374e+00,2.048048048048048029e-04,1.210368685727139848e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.096096096096096233e-04,1.515714166185366585e+00,2.096096096096096233e-04,1.447894573502382043e+00,2.096096096096096233e-04,1.393526425503626598e+00,2.096096096096096233e-04,1.348475705298920690e+00,2.096096096096096233e-04,1.310220524930527430e+00,2.096096096096096233e-04,1.277043183244204405e+00,2.096096096096096233e-04,1.247723972923088898e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.144144144144144166e-04,1.563828012532522793e+00,2.144144144144144166e-04,1.492972648565698224e+00,2.144144144144144166e-04,1.436319282982340795e+00,2.144144144144144166e-04,1.389471325133844859e+00,2.144144144144144166e-04,1.349764046050128119e+00,2.144144144144144166e-04,1.315374394816240855e+00,2.144144144144144166e-04,1.284998722743702526e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.192192192192192371e-04,1.611915473066455773e+00,2.192192192192192371e-04,1.537999024715750451e+00,2.192192192192192371e-04,1.479045259453967587e+00,2.192192192192192371e-04,1.430390593570524782e+00,2.192192192192192371e-04,1.389225419678047579e+00,2.192192192192192371e-04,1.353619815824351758e+00,2.192192192192192371e-04,1.322184924513395421e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.240240240240240304e-04,1.659964083294535708e+00,2.240240240240240304e-04,1.582962924782295833e+00,2.240240240240240304e-04,1.521694740554181635e+00,2.240240240240240304e-04,1.471224736068555750e+00,2.240240240240240304e-04,1.428596489381169565e+00,2.240240240240240304e-04,1.391771765550666062e+00,2.240240240240240304e-04,1.359275298725823644e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.288288288288288508e-04,1.707962337045579426e+00,2.288288288288288508e-04,1.627854444646900101e+00,2.288288288288288508e-04,1.564258922409297092e+00,2.288288288288288508e-04,1.511965740946691117e+00,2.288288288288288508e-04,1.467869824662766165e+00,2.288288288288288508e-04,1.429823259516347145e+00,2.288288288288288508e-04,1.396263236561276377e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.336336336336336441e-04,1.755899614777260975e+00,2.336336336336336441e-04,1.672664485972371606e+00,2.336336336336336441e-04,1.606729747857388757e+00,2.336336336336336441e-04,1.552606298414392683e+00,2.336336336336336441e-04,1.507038662283824326e+00,2.336336336336336441e-04,1.467767952717450308e+00,2.336336336336336441e-04,1.433142744797254231e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.384384384384384374e-04,1.803766117740987385e+00,2.384384384384384374e-04,1.717384694570768033e+00,2.384384384384384374e-04,1.649099848110404221e+00,2.384384384384384374e-04,1.593139744870930796e+00,2.384384384384384374e-04,1.546096852700382218e+00,2.384384384384384374e-04,1.505600087843583568e+00,2.384384384384384374e-04,1.469908395583148453e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.432432432432432578e-04,1.851552807477809814e+00,2.432432432432432578e-04,1.762007403889639168e+00,2.432432432432432578e-04,1.691362489346153408e+00,2.432432432432432578e-04,1.633560011970961456e+00,2.432432432432432578e-04,1.585038811125925262e+00,2.432432432432432578e-04,1.543314447998172412e+00,2.432432432432432578e-04,1.506555280606605596e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.480480480480480782e-04,1.899251350170158226e+00,2.480480480480480782e-04,1.806525583148350433e+00,2.480480480480480782e-04,1.733511523771490426e+00,2.480480480480480782e-04,1.673861580007679706e+00,2.480480480480480782e-04,1.623859472779406454e+00,2.480480480480480782e-04,1.580906313489863546e+00,2.480480480480480782e-04,1.543078969229305208e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.528528528528528716e-04,1.946854065420183133e+00,2.528528528528528716e-04,1.850932789703054970e+00,2.528528528528528716e-04,1.775541344744480110e+00,2.528528528528528716e-04,1.714039435210714446e+00,2.528528528528528716e-04,1.662554251925190130e+00,2.528528528528528716e-04,1.618371422309666352e+00,2.528528528528528716e-04,1.579475470214468436e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.576576576576576649e-04,1.994353879066777635e+00,2.576576576576576649e-04,1.895223125260561803e+00,2.576576576576576649e-04,1.817446845585041659e+00,2.576576576576576649e-04,1.754089030597236754e+00,2.576576576576576649e-04,1.701119004351647979e+00,2.576576576576576649e-04,1.655705933948398156e+00,2.576576576576576649e-04,1.615741196707586091e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.624624624624624582e-04,2.041744279690409947e+00,2.624624624624624582e-04,1.939391195598613393e+00,2.624624624624624582e-04,1.859223381740431336e+00,2.624624624624624582e-04,1.794006250051158879e+00,2.624624624624624582e-04,1.739549992971299419e+00,2.624624624624624582e-04,1.692906396244468148e+00,2.624624624624624582e-04,1.651872934166978890e+00,0.000000000000000000e+00,0.000000000000000000e+00
