# P=30,vT,P=40,vT,P=50,vT,P=60,vT,P=70,vT,P=100,vT,P=1000,vT,P=1100,vT,P=1200,vT,P=1300,vT,P=2500,vT,P=2600,vT,P=2700,vT,P=2800,vT,P=2900,vT,P=3000,vT,
2.000000000000000096e-04,1.704582229730639220e+00,2.000000000000000096e-04,1.702197890327121765e+00,2.000000000000000096e-04,1.692033465990182339e+00,2.000000000000000096e-04,1.676364027721500172e+00,2.000000000000000096e-04,1.658125655329184323e+00,2.000000000000000096e-04,1.605126122558274915e+00,2.000000000000000096e-04,1.075646972732662965e+00,2.000000000000000096e-04,1.053511519587221557e+00,2.000000000000000096e-04,1.033494479359810647e+00,2.000000000000000096e-04,1.015249183930515331e+00,2.000000000000000096e-04,8.727660397577683415e-01,2.000000000000000096e-04,8.646135388239332142e-01,2.000000000000000096e-04,8.568088578540115074e-01,2.000000000000000096e-04,8.493242375750083006e-01,2.000000000000000096e-04,8.421350131007546702e-01,2.000000000000000096e-04,8.352191975372809107e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.048048048048048029e-04,1.786045210877944767e+00,2.048048048048048029e-04,1.780366400805691640e+00,2.048048048048048029e-04,1.767312259537957564e+00,2.048048048048048029e-04,1.749095385705883299e+00,2.048048048048048029e-04,1.728614877879967260e+00,2.048048048048048029e-04,1.670211118129806716e+00,2.048048048048048029e-04,1.110487429216132194e+00,2.048048048048048029e-04,1.087481349985245593e+00,2.048048048048048029e-04,1.066667281152051450e+00,2.048048048048048029e-04,1.047689204348748904e+00,2.048048048048048029e-04,8.997078252833377032e-01,2.048048048048048029e-04,8.912732185118089623e-01,2.048048048048048029e-04,8.832024931936378609e-01,2.048048048048048029e-04,8.754662801775892067e-01,2.048048048048048029e-04,8.680385179370611048e-01,2.048048048048048029e-04,8.608960024919155574e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.096096096096096233e-04,1.868640120670905125e+00,2.096096096096096233e-04,1.859474582256001263e+00,2.096096096096096233e-04,1.843387900952920599e+00,2.096096096096096233e-04,1.822516166027760898e+00,2.096096096096096233e-04,1.799710481996100953e+00,2.096096096096096233e-04,1.735728136286699419e+00,2.096096096096096233e-04,1.145277465171716136e+00,2.096096096096096233e-04,1.121397186153042513e+00,2.096096096096096233e-04,1.099782612767152834e+00,2.096096096096096233e-04,1.080068445312911907e+00,2.096096096096096233e-04,9.265708310737738040e-01,2.096096096096096233e-04,9.178540370232521894e-01,2.096096096096096233e-04,9.095172992613020924e-01,2.096096096096096233e-04,9.015296201793584485e-01,2.096096096096096233e-04,8.938635261974259283e-01,2.096096096096096233e-04,8.864945833978128409e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.144144144144144166e-04,1.952322404745928885e+00,2.144144144144144166e-04,1.939480402738376741e+00,2.144144144144144166e-04,1.920220811108231063e+00,2.144144144144144166e-04,1.896589009720765384e+00,2.144144144144144166e-04,1.871377064390111755e+00,2.144144144144144166e-04,1.801646533750156598e+00,2.144144144144144166e-04,1.180008277962310004e+00,2.144144144144144166e-04,1.155250621744035255e+00,2.144144144144144166e-04,1.132832439768574284e+00,2.144144144144144166e-04,1.112379220107154731e+00,2.144144144144144166e-04,9.533497678687038457e-01,2.144144144144144166e-04,9.443507967901677569e-01,2.144144144144144166e-04,9.357481606669791896e-01,2.144144144144144166e-04,9.275092160732529845e-01,2.144144144144144166e-04,9.196050629979222180e-01,2.144144144144144166e-04,9.120100256176837394e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.192192192192192371e-04,2.037049039626390279e+00,2.192192192192192371e-04,2.020343462561922543e+00,2.192192192192192371e-04,1.997773084283344103e+00,2.192192192192192371e-04,1.971278238288147300e+00,2.192192192192192371e-04,1.943580891757507478e+00,2.192192192192192371e-04,1.867937270460126475e+00,2.192192192192192371e-04,1.214671826883119810e+00,2.192192192192192371e-04,1.189033987746210830e+00,2.192192192192192371e-04,1.165809442145490982e+00,2.192192192192192371e-04,1.144614535093991359e+00,2.192192192192192371e-04,9.800398835842849543e-01,2.192192192192192371e-04,9.707588304447023475e-01,2.192192192192192371e-04,9.618904857979208023e-01,2.192192192192192371e-04,9.534005441959528815e-01,2.192192192192192371e-04,9.452586657992623209e-01,2.192192192192192371e-04,9.374379217467597725e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.240240240240240304e-04,2.122778488797108398e+00,2.240240240240240304e-04,2.102024933938433371e+00,2.240240240240240304e-04,2.076008417116276927e+00,2.240240240240240304e-04,2.046549775833176099e+00,2.240240240240240304e-04,2.016289818521211696e+00,2.240240240240240304e-04,1.934572820679949290e+00,2.240240240240240304e-04,1.249260771112294499e+00,2.240240240240240304e-04,1.222740292019773856e+00,2.240240240240240304e-04,1.198706955317533129e+00,2.240240240240240304e-04,1.176768032081430881e+00,2.240240240240240304e-04,1.006636916150938532e+00,2.240240240240240304e-04,9.970739541835429431e-01,2.240240240240240304e-04,9.879401606761532006e-01,2.240240240240240304e-04,9.791995530485596566e-01,2.240240240240240304e-04,9.708203391636885948e-01,2.240240240240240304e-04,9.627743267814590222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.288288288288288508e-04,2.209470658167737689e+00,2.288288288288288508e-04,2.184487501729154069e+00,2.288288288288288508e-04,2.154892039893758326e+00,2.288288288288288508e-04,2.122371074421139703e+00,2.288288288288288508e-04,2.089473208459106335e+00,2.288288288288288508e-04,2.001527089231784906e+00,2.288288288288288508e-04,1.283768413145356613e+00,2.288288288288288508e-04,1.256363164209080674e+00,2.288288288288288508e-04,1.231518916413705478e+00,2.288288288288288508e-04,1.208833935871831855e+00,2.288288288288288508e-04,1.033137050775330579e+00,2.288288288288288508e-04,1.023292425513153692e+00,2.288288288288288508e-04,1.013893507155622542e+00,2.288288288288288508e-04,1.004902621917584726e+00,2.288288288288288508e-04,9.962865137744982835e-01,2.288288288288288508e-04,9.880157175147477044e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.336336336336336441e-04,2.297086851314778855e+00,2.336336336336336441e-04,2.267695305505230685e+00,2.336336336336336441e-04,2.234390650266096845e+00,2.336336336336336441e-04,2.198711042656572356e+00,2.336336336336336441e-04,2.163101860118247011e+00,2.336336336336336441e-04,2.068775332598466132e+00,2.336336336336336441e-04,1.318188647180015716e+00,2.336336336336336441e-04,1.289896805503075727e+00,2.336336336336336441e-04,1.264239815306527293e+00,2.336336336336336441e-04,1.240807006479828001e+00,2.336336336336336441e-04,1.059536881170840106e+00,2.336336336336336441e-04,1.049410904924038990e+00,2.336336336336336441e-04,1.039747245010861576e+00,2.336336336336336441e-04,1.030506523351730541e+00,2.336336336336336441e-04,1.021654009277371822e+00,2.336336336336336441e-04,1.013158955720668830e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.384384384384384374e-04,2.385589724819847213e+00,2.384384384384384374e-04,2.351613883087539936e+00,2.384384384384384374e-04,2.314472349432974863e+00,2.384384384384384374e-04,2.275539977430544258e+00,2.384384384384384374e-04,2.237147935900335227e+00,2.384384384384384374e-04,2.136294084630368406e+00,2.384384384384384374e-04,1.352515911974398355e+00,2.384384384384384374e-04,1.323335942774540364e+00,2.384384384384384374e-04,1.296864649938190617e+00,2.384384384384384374e-04,1.272682495561932692e+00,2.384384384384384374e-04,1.085833374352072056e+00,2.384384384384384374e-04,1.075426421093124585e+00,2.384384384384384374e-04,1.065498457519735265e+00,2.384384384384384374e-04,1.056008389100347333e+00,2.384384384384384374e-04,1.046920000552446828e+00,2.384384384384384374e-04,1.038201254740231949e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.432432432432432578e-04,2.474943243961610140e+00,2.432432432432432578e-04,2.436210115686460842e+00,2.432432432432432578e-04,2.395106580814213793e+00,2.432432432432432578e-04,2.352829498771416894e+00,2.432432432432432578e-04,2.311584894689995728e+00,2.432432432432432578e-04,2.204061086601699415e+00,2.432432432432432578e-04,1.386745147751973439e+00,2.432432432432432578e-04,1.356675786678067430e+00,2.432432432432432578e-04,1.329388885524715791e+00,2.432432432432432578e-04,1.304456106649493075e+00,2.432432432432432578e-04,1.112023838634177419e+00,2.432432432432432578e-04,1.101336339258210728e+00,2.432432432432432578e-04,1.091144560187178980e+00,2.432432432432432578e-04,1.081405679163480960e+00,2.432432432432432578e-04,1.072081987070018450e+00,2.432432432432432578e-04,1.063140149124209621e+00,0.000000000000000000e+00,0.000000000000000000e+00
