# P(mbar),T(K)
0.250,96.100
0.360,111.514
0.519,104.224
0.748,83.293
1.078,71.556
1.554,68.711
2.239,66.800
3.227,68.371
4.650,68.005
6.701,63.671
9.657,63.277
13.917,67.028
20.056,58.156
28.902,55.881
41.651,54.735
60.023,53.615
86.498,53.429
124.652,53.126
179.635,53.950
258.871,55.289
373.056,57.663
537.609,62.346
774.743,69.707
1116.477,79.887
1608.946,89.655
2318.639,101.066
3341.372,118.435
4815.225,143.464
6939.182,179.533
10000.000,231.511
