# P=1000,vT,P=1500,vT,P=2000,vT,P=2500,vT,P=3000,vT,P=3500,vT,P=4000,vT,P=4500,vT,P=5000,vT,P=5500,vT,P=6000,vT,P=6500,vT,P=7000,vT,P=7500,vT,
2.000000000000000096e-04,2.017671935856420795e+00,2.000000000000000096e-04,1.830151139505733271e+00,2.000000000000000096e-04,1.704656874408156497e+00,2.000000000000000096e-04,1.611591728335585616e+00,2.000000000000000096e-04,1.538381072508616665e+00,2.000000000000000096e-04,1.478514960823844149e+00,2.000000000000000096e-04,1.428170658298365758e+00,2.000000000000000096e-04,1.384887406817657096e+00,2.000000000000000096e-04,1.346964445789063047e+00,2.000000000000000096e-04,1.313224543313956660e+00,2.000000000000000096e-04,1.282799124954875358e+00,2.000000000000000096e-04,1.255065603849978562e+00,2.000000000000000096e-04,1.229585952620444234e+00,2.000000000000000096e-04,1.206039173797551545e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.048048048048048029e-04,2.086171018219004303e+00,2.048048048048048029e-04,1.891195410360583695e+00,2.048048048048048029e-04,1.760802713130050545e+00,2.048048048048048029e-04,1.664160103852311723e+00,2.048048048048048029e-04,1.588164881522455385e+00,2.048048048048048029e-04,1.526036976605600337e+00,2.048048048048048029e-04,1.473799594847928773e+00,2.048048048048048029e-04,1.428897994157646734e+00,2.048048048048048029e-04,1.389571731507916352e+00,2.048048048048048029e-04,1.354601683386736033e+00,2.048048048048048029e-04,1.323089797249328070e+00,2.048048048048048029e-04,1.294390215717598824e+00,2.048048048048048029e-04,1.268045112491495541e+00,2.048048048048048029e-04,1.243716886018168211e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.096096096096096233e-04,2.154675666568703019e+00,2.096096096096096233e-04,1.952208964619057907e+00,2.096096096096096233e-04,1.816897295039348714e+00,2.096096096096096233e-04,1.716664144770047695e+00,2.096096096096096233e-04,1.637875232055735486e+00,2.096096096096096233e-04,1.573478701130703206e+00,2.096096096096096233e-04,1.519342883670355748e+00,2.096096096096096233e-04,1.472818691564325766e+00,2.096096096096096233e-04,1.432085902883271533e+00,2.096096096096096233e-04,1.395883415037894926e+00,2.096096096096096233e-04,1.363283671820267662e+00,2.096096096096096233e-04,1.333617465314025363e+00,2.096096096096096233e-04,1.306407019018755777e+00,2.096096096096096233e-04,1.281297960787821877e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.144144144144144166e-04,2.223164966579728397e+00,2.144144144144144166e-04,2.013174353132934247e+00,2.144144144144144166e-04,1.872925365132725117e+00,2.144144144144144166e-04,1.769090146344840075e+00,2.144144144144144166e-04,1.687499597265371243e+00,2.144144144144144166e-04,1.620828549273150454e+00,2.144144144144144166e-04,1.564789718802031215e+00,2.144144144144144166e-04,1.516639349843611484e+00,2.144144144144144166e-04,1.474497365505170965e+00,2.144144144144144166e-04,1.437060611623803386e+00,2.144144144144144166e-04,1.403372011840958278e+00,2.144144144144144166e-04,1.372738937183738850e+00,2.144144144144144166e-04,1.344663521140895934e+00,2.144144144144144166e-04,1.318774465779490646e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.192192192192192371e-04,2.291619602966673774e+00,2.192192192192192371e-04,2.074075520990589006e+00,2.192192192192192371e-04,1.928872928468921000e+00,2.192192192192192371e-04,1.821425566472698820e+00,2.192192192192192371e-04,1.737026537434124274e+00,2.192192192192192371e-04,1.668075961798320961e+00,2.192192192192192371e-04,1.610130268943614995e+00,2.192192192192192371e-04,1.560350750780133522e+00,2.192192192192192371e-04,1.516797418408202258e+00,2.192192192192192371e-04,1.478125007572099081e+00,2.192192192192192371e-04,1.443346913702712841e+00,2.192192192192192371e-04,1.411747025166524505e+00,2.192192192192192371e-04,1.382807256469518409e+00,2.192192192192192371e-04,1.356139239419015041e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.240240240240240304e-04,2.360021738243786249e+00,2.240240240240240304e-04,2.134897698928133636e+00,2.240240240240240304e-04,1.984727150134227180e+00,2.240240240240240304e-04,1.873658932018565926e+00,2.240240240240240304e-04,1.786445611316912929e+00,2.240240240240240304e-04,1.715211320825989816e+00,2.240240240240240304e-04,1.655355596397992013e+00,2.240240240240240304e-04,1.603944529066436253e+00,2.240240240240240304e-04,1.558978178605703757e+00,2.240240240240240304e-04,1.519069125202425541e+00,2.240240240240240304e-04,1.483201235849892941e+00,2.240240240240240304e-04,1.450634863012541853e+00,2.240240240240240304e-04,1.420831583485829608e+00,2.240240240240240304e-04,1.393385824497241021e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.288288288288288508e-04,2.428354901549310885e+00,2.288288288288288508e-04,2.195627303976269040e+00,2.288288288288288508e-04,2.040476263859660300e+00,2.288288288288288508e-04,1.925779753349373014e+00,2.288288288288288508e-04,1.835747295331141116e+00,2.288288288288288508e-04,1.762225872837894114e+00,2.288288288288288508e-04,1.700457583297518172e+00,2.288288288288288508e-04,1.647413101299435745e+00,2.288288288288288508e-04,1.601032512494829696e+00,2.288288288288288508e-04,1.559886208242267980e+00,2.288288288288288508e-04,1.522928534151157809e+00,2.288288288288288508e-04,1.489396261389043463e+00,2.288288288288288508e-04,1.458730519996656927e+00,2.288288288288288508e-04,1.430508407919788283e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.336336336336336441e-04,2.496603886617770218e+00,2.336336336336336441e-04,2.256251848479105426e+00,2.336336336336336441e-04,2.096109488466544768e+00,2.336336336336336441e-04,1.977778446280433977e+00,2.336336336336336441e-04,1.884922909827147608e+00,2.336336336336336441e-04,1.809111658488809393e+00,2.336336336336336441e-04,1.745428864399195756e+00,2.336336336336336441e-04,1.690749601340108654e+00,2.336336336336336441e-04,1.642953973444259086e+00,2.336336336336336441e-04,1.600570161364174293e+00,2.336336336336336441e-04,1.562523003146795597e+00,2.336336336336336441e-04,1.528025650631414045e+00,2.336336336336336441e-04,1.496498687214551149e+00,2.336336336336336441e-04,1.467501765970667282e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.384384384384384374e-04,2.564754658073049587e+00,2.384384384384384374e-04,2.316759856708740184e+00,2.384384384384384374e-04,2.151616951402240296e+00,2.384384384384384374e-04,2.029646260727140383e+00,2.384384384384384374e-04,1.933964551755877892e+00,2.384384384384384374e-04,1.855861448559435800e+00,2.384384384384384374e-04,1.790262765804353284e+00,2.384384384384384374e-04,1.733947821409185908e+00,2.384384384384384374e-04,1.684736744951760734e+00,2.384384384384384374e-04,1.641115495144803038e+00,2.384384384384384374e-04,1.601979422584923318e+00,2.384384384384384374e-04,1.566518028662842843e+00,2.384384384384384374e-04,1.534131258897275751e+00,2.384384384384384374e-04,1.504361214535386848e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.432432432432432578e-04,2.632794265295779201e+00,2.432432432432432578e-04,2.377140788377407166e+00,2.432432432432432578e-04,2.206989618703519174e+00,2.432432432432432578e-04,2.081375215427845315e+00,2.432432432432432578e-04,1.982865033122845455e+00,2.432432432432432578e-04,1.902468685459686393e+00,2.432432432432432578e-04,1.834953249028344668e+00,2.432432432432432578e-04,1.777002158359085593e+00,2.432432432432432578e-04,1.726375588825184604e+00,2.432432432432432578e-04,1.681517275911502241e+00,2.432432432432432578e-04,1.641293108723473004e+00,2.432432432432432578e-04,1.604868913570091316e+00,2.432432432432432578e-04,1.571623915043947273e+00,2.432432432432432578e-04,1.541082563790100668e+00,0.000000000000000000e+00,0.000000000000000000e+00
