# P=1000,vT,P=1333,vT,P=1666,vT,P=2000,vT,P=2333,vT,P=2666,vT,P=3000,vT,P=3333,vT,P=3666,vT,P=4000,vT,
9.999999999999999547e-07,7.444244327658918478e-04,9.999999999999999547e-07,7.050814927268497529e-04,9.999999999999999547e-07,6.754950876767027270e-04,9.999999999999999547e-07,6.519192949572258974e-04,9.999999999999999547e-07,6.324515184213242271e-04,9.999999999999999547e-07,6.160897318833190349e-04,9.999999999999999547e-07,6.020744082856128608e-04,9.999999999999999547e-07,5.896948997648379220e-04,9.999999999999999547e-07,5.781453443150141782e-04,9.999999999999999547e-07,5.677282330592595908e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.499499499499499335e-06,1.115508748395731319e-03,1.499499499499499335e-06,1.056522568480728914e-03,1.499499499499499335e-06,1.012165019087422598e-03,1.499499499499499335e-06,9.768195042182336533e-04,1.499499499499499335e-06,9.476331542703352474e-04,1.499499499499499335e-06,9.231031109337579357e-04,1.499499499499499335e-06,9.020906507848196199e-04,1.499499499499499335e-06,8.835309569448428040e-04,1.499499499499499335e-06,8.662172696411104015e-04,1.499499499499499335e-06,8.506013809127887073e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.998998998998998928e-06,1.486091557106592343e-03,1.998998998998998928e-06,1.407467880595819490e-03,1.998998998998998928e-06,1.348344058468936525e-03,1.998998998998998928e-06,1.301233101233232031e-03,1.998998998998998928e-06,1.262331917241144366e-03,1.998998998998998928e-06,1.229636606079425459e-03,1.998998998998998928e-06,1.201629373316227822e-03,1.998998998998998928e-06,1.176891763105952348e-03,1.998998998998998928e-06,1.153817197186030215e-03,1.998998998998998928e-06,1.133005582175467853e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.498498498498498520e-06,1.856174127913233106e-03,2.498498498498498520e-06,1.757918738420176158e-03,2.498498498498498520e-06,1.684033545820905328e-03,2.498498498498498520e-06,1.625161450380691042e-03,2.498498498498498520e-06,1.576549192200682459e-03,2.498498498498498520e-06,1.535691621440127925e-03,2.498498498498498520e-06,1.500691998583239930e-03,2.498498498498498520e-06,1.469778757064595836e-03,2.498498498498498520e-06,1.440946574500461550e-03,2.498498498498498520e-06,1.414942291975199856e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.997997997997998113e-06,2.225757725041838716e-03,2.997997997997998113e-06,2.107876446146355817e-03,2.997997997997998113e-06,2.019234815688152832e-03,2.997997997997998113e-06,1.948605910335256567e-03,2.997997997997998113e-06,1.890286358093693940e-03,2.997997997997998113e-06,1.841269555010596705e-03,2.997997997997998113e-06,1.799279942969937360e-03,2.997997997997998113e-06,1.762193371142988527e-03,2.997997997997998113e-06,1.727606842516417329e-03,2.997997997997998113e-06,1.696412958708035492e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.497497497497497705e-06,2.594843607954138310e-03,3.497497497497497705e-06,2.457342302836817202e-03,3.497497497497497705e-06,2.353949197191020169e-03,3.497497497497497705e-06,2.271567834099714155e-03,3.497497497497497705e-06,2.203544787976807924e-03,3.497497497497497705e-06,2.146371798695369173e-03,3.497497497497497705e-06,2.097394616578141663e-03,3.497497497497497705e-06,2.054137031208429220e-03,3.497497497497497705e-06,2.013799435588444365e-03,3.497497497497497705e-06,1.977419024080466145e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.996996996996996450e-06,2.963433031371223454e-03,3.996996996996996450e-06,2.806317602451667993e-03,3.996996996996996450e-06,2.688178014055040387e-03,3.996996996996996450e-06,2.594048569036297089e-03,3.996996996996996450e-06,2.516325849052523846e-03,3.996996996996996450e-06,2.450999738345145586e-03,3.996996996996996450e-06,2.395037423265205904e-03,3.996996996996996450e-06,2.345611156712171935e-03,3.996996996996996450e-06,2.299525781532540687e-03,3.996996996996996450e-06,2.257961923150546193e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.496496496496496043e-06,3.331527245298284215e-03,4.496496496496496043e-06,3.154803633875250760e-03,4.496496496496496043e-06,3.021922584640115636e-03,4.496496496496496043e-06,2.916049456898103538e-03,4.496496496496496043e-06,2.828630902702193757e-03,4.496496496496496043e-06,2.755154753791471626e-03,4.496496496496496043e-06,2.692209760680202950e-03,4.496496496496496043e-06,2.636617160727858060e-03,4.496496496496496043e-06,2.584787301667453019e-03,4.496496496496496043e-06,2.538043084369190697e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.995995995995995635e-06,3.699127495046612181e-03,4.995995995995995635e-06,3.502801680942892616e-03,4.995995995995995635e-06,3.355184221968825469e-03,4.995995995995995635e-06,3.237571833860823558e-03,4.995995995995995635e-06,3.140461304519102416e-03,4.995995995995995635e-06,3.058838218882043054e-03,4.995995995995995635e-06,2.988913020301854975e-03,4.995995995995995635e-06,2.927156449989859813e-03,4.995995995995995635e-06,2.869585410852906401e-03,4.995995995995995635e-06,2.817663929620317122e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.495495495495495228e-06,4.066235021258719252e-03,5.495495495495495228e-06,3.850313022467793857e-03,5.495495495495495228e-06,3.687964233756481792e-03,5.495495495495495228e-06,3.558617030553032357e-03,5.495495495495495228e-06,3.451818404342012290e-03,5.495495495495495228e-06,3.362051501514682662e-03,5.495495495495495228e-06,3.285148587473352404e-03,5.495495495495495228e-06,3.217230424931337689e-03,5.495495495495495228e-06,3.153921517529586962e-03,5.495495495495495228e-06,3.096825874261911662e-03,0.000000000000000000e+00,0.000000000000000000e+00
